policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp,min_year_trades,eligible
e0.001_x0.05_p2_w240_c3_d0,0.001,0.05,2.0,240,3,0,83,18.632496179187665,-18.525367967766606,0.42168674698795183,1.2323789133941707,564.3975903614457,0.0,0.5057628702428724,0.14191908855304192,0.07138757595897394,0.15642800630596787,1546.497182872576,35.0,False
e0.001_x0.15_p2_w480_c1_d5,0.001,0.15,2.0,480,1,5,96,17.643082703913027,-9.79123312229213,0.46875,1.2824242366837464,345.5520833333333,0.0,0.6464337375760443,0.16572108633600058,0.08293342246887825,0.12395643083671459,1693.7359395756507,45.0,False
e0.001_x0.15_p2_w480_c1_d0,0.001,0.15,2.0,480,1,0,97,17.5648794234868,-5.4500775008736735,0.4742268041237113,1.282905105117066,347.2474226804124,0.0,0.6455014695287782,0.16680120461957992,0.0834546659046056,0.12325330070601426,1703.7933040782198,45.0,False
e0.001_x0.05_p0_w120_c3_d5,0.001,0.05,0.0,120,3,5,75,17.312246534374644,-7.3719848536568655,0.48,1.2530930263286553,531.5066666666667,0.0,0.4987427554059225,0.1225800765870515,0.06192123040857145,0.10403630469003555,1298.4184900780983,37.0,False
e0.001_x0.15_p0_w240_c3_d0,0.001,0.15,0.0,240,3,0,84,16.81602778940593,-27.635437655095796,0.4523809523809524,1.2457781492235243,404.9761904761905,0.0,0.5231441999742953,0.1315228451589694,0.06630832689466515,0.1371366520830779,1412.546334310098,36.0,False
e0.001_x0.05_p0_w240_c3_d5,0.001,0.05,0.0,240,3,5,75,16.58923802840033,-37.00440862372201,0.44,1.2014042369261615,593.2933333333333,0.0,0.43120520981927324,0.10982998811416778,0.055637220184423075,0.16377431884306626,1244.192852130025,33.0,False
e0.001_x0.3_p0_w480_c3_d5,0.001,0.3,0.0,480,3,5,89,15.85531812792825,-15.148085396990973,0.47191011235955055,1.2551545758605327,306.85393258426967,0.011235955056179775,0.5789076218356003,0.13480651226410556,0.06791502762037194,0.12632656971795764,1411.1233133856142,41.0,False
e0.05_x0.05_p2_w480_c3_d5,0.05,0.05,2.0,480,3,5,165,15.758917234406253,-6.947813657907087,0.48484848484848486,1.193498070906707,577.6484848484848,0.0,0.6073151992610923,0.23912725326548467,0.11784573543264121,0.17297051405540653,2600.2213436770317,80.0,False
e0.001_x0.3_p0_w240_c3_d0,0.001,0.3,0.0,240,3,0,87,14.888037232837455,-18.96964643413268,0.47126436781609193,1.2545199352434022,302.6551724137931,0.0,0.5503589969706281,0.12401452457361906,0.06262606196929621,0.12798325256681076,1295.2592392568586,37.0,False
e0.05_x0.05_p1_w480_c3_d5,0.05,0.05,1.0,480,3,5,153,14.100601102021578,-0.7909123802907203,0.49673202614379086,1.163897939853661,617.0392156862745,0.0,0.502263818810985,0.18343225880250413,0.09145141324040407,0.1800922994249906,2157.3919686093013,76.0,False
e0.001_x0.3_p1_w240_c3_d5,0.001,0.3,1.0,240,3,5,88,13.806175694001059,-16.2155707290329,0.45454545454545453,1.2485085843572514,256.0113636363636,0.0,0.5565867411971444,0.11581165869783949,0.05858964199507177,0.167513371086069,1214.9434610720932,36.0,False
e0.001_x0.05_p0_w120_c3_d0,0.001,0.05,0.0,120,3,0,78,13.790864883149029,-7.168615812286339,0.47435897435897434,1.1943536311222716,528.5769230769231,0.0,0.40310845917703503,0.0970302547017643,0.049293758649425534,0.1283600799892476,1075.6874608856242,38.0,False
e0.001_x0.05_p1_w240_c3_d5,0.001,0.05,1.0,240,3,5,76,13.582652199258922,-38.47743034039175,0.4473684210526316,1.161790793009935,589.2368421052631,0.0,0.3523758305337865,0.08678393460385303,0.04419008403756797,0.15479911953663217,1032.281567143678,33.0,False
e0.01_x0.05_p2_w240_c3_d0,0.01,0.05,2.0,240,3,0,140,13.468411054474183,-28.95044559451998,0.42857142857142855,1.1583463434772978,551.5142857142857,0.0,0.4710585028816667,0.15864450271389963,0.07951264933218072,0.18894997750134723,1885.5775476263857,69.0,False
e0.001_x0.15_p2_w240_c3_d5,0.001,0.15,2.0,240,3,5,88,13.44651612376961,-17.57460147768397,0.4772727272727273,1.2153316207095506,327.625,0.0,0.48675035301141417,0.11081175516848663,0.05612232238304182,0.13099246429204703,1183.2934188917257,37.0,False
e0.05_x0.05_p0_w240_c3_d0,0.05,0.05,0.0,240,3,0,188,13.427896870749498,-31.294562111204847,0.44148936170212766,1.1620470256685422,554.7234042553191,0.005319148936170213,0.5493374306704852,0.2219030321495239,0.10974504521054151,0.17080440542072028,2524.4446117009056,91.0,False
e0.05_x0.05_p2_w480_c3_d0,0.05,0.05,2.0,480,3,0,196,13.228413835121218,-26.542725832066072,0.4642857142857143,1.1474469211967822,574.3010204081633,0.0,0.5238033109180246,0.21914428572133926,0.10844250006232814,0.2670878308953266,2592.7691116837586,95.0,False
e0.01_x0.05_p2_w240_c3_d5,0.01,0.05,2.0,240,3,5,131,13.135645318464835,-35.38490031904651,0.42748091603053434,1.15366781972278,548.9541984732824,0.0,0.4473109235348683,0.14239078089648838,0.07161750075887685,0.20963144182608762,1720.7695367188935,65.0,False
e0.05_x0.05_p0_w120_c3_d5,0.05,0.05,0.0,120,3,5,178,13.090293316069573,-7.550199496655363,0.48314606741573035,1.1663651845146576,477.2191011235955,0.0056179775280898875,0.5593100540745475,0.20632815971710627,0.10237269676088645,0.16419702805645342,2330.072210260384,87.0,False
e0.01_x0.05_p2_w480_c1_d0,0.01,0.05,2.0,480,1,0,153,12.752695959945612,-25.33844258641338,0.47058823529411764,1.1457251930812062,577.2745098039215,0.0,0.4565557361670446,0.16187342968448748,0.08107473243959307,0.20805038982438606,1951.1624818716787,75.0,False
e0.01_x0.05_p2_w120_c3_d0,0.01,0.05,2.0,120,3,0,156,12.6775170929746,-18.279024948488765,0.4551282051282051,1.1662285323916197,478.94871794871796,0.0,0.5258519917881392,0.17749134621828322,0.08860106680805657,0.1922413915704847,1977.6926665040378,71.0,False
e0.001_x0.3_p0_w120_c3_d0,0.001,0.3,0.0,120,3,0,83,12.467865119529359,1.1812532831689815,0.5180722891566265,1.2184847899868119,291.93975903614455,0.0,0.47185768909896786,0.09732369598084456,0.04943958318175912,0.08063573023642445,1034.8328049209367,41.0,False
e0.001_x0.05_p2_w480_c3_d0,0.001,0.05,2.0,480,3,0,83,12.371648634552466,-18.765144519694577,0.46987951807228917,1.1479726105298445,582.2168674698795,0.0,0.3518095655586514,0.08581018835606047,0.0437038622056507,0.16747690604919419,1026.8468366678546,37.0,False
e0.001_x0.3_p2_w120_c3_d5,0.001,0.3,2.0,120,3,5,88,12.005646104672552,-1.132373713407242,0.5,1.2345799540129327,211.11363636363637,0.0,0.5143876240808216,0.10135325942516693,0.05144016780214966,0.0892493380175321,1056.4968572111845,43.0,False
e0.01_x0.05_p2_w120_c3_d5,0.01,0.05,2.0,120,3,5,142,11.98289493764359,-15.389276362935966,0.4647887323943662,1.1573591371215368,480.8943661971831,0.0,0.47222477273439184,0.1487137757900392,0.07469523085133556,0.15558255764986106,1701.5710811453896,65.0,False
e0.001_x0.05_p0_w240_c3_d0,0.001,0.05,0.0,240,3,0,80,11.916170091320023,-38.4575567574208,0.4,1.1469902292686884,583.6625,0.0,0.3262030393563587,0.07791633310786716,0.039754455901145125,0.1618007397660659,953.2936073056018,34.0,False
