year,view,scenario,cost_bps,comparison,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log,alpha
2023,4,legacy_on_minute,5,slow_vs_baseline,2.6259604608369624,2.650416257075902,0.024455796238939342,0.12812185851308872,0.15257765475202806,
2023,4,legacy_on_minute,5,slow_vs_matched_constant,,,0.03878687903594103,0.006847237204716581,0.045634116240657635,0.8303030303030303
2023,4,delay_1m,0,slow_vs_baseline,2.6307428093107212,2.6352582033506664,0.004515394039945164,0.0,0.004515394039945164,
2023,4,delay_1m,0,slow_vs_matched_constant,,,0.02621089030183551,0.0,0.02621089030183551,0.8303030303030303
2023,4,delay_1m,1,slow_vs_baseline,2.6307428093107212,2.6352582033506664,0.004515394039945164,0.0256048708674875,0.030120264907432664,
2023,4,delay_1m,1,slow_vs_matched_constant,,,0.02621089030183551,0.00136770745706968,0.027578597758905206,0.8303030303030303
2023,4,delay_1m,3,slow_vs_baseline,2.6307428093107212,2.6352582033506664,0.004515394039945164,0.0768438534304918,0.08135924747043696,
2023,4,delay_1m,3,slow_vs_matched_constant,,,0.02621089030183551,0.004105731708054048,0.03031662200988957,0.8303030303030303
2023,4,delay_1m,5,slow_vs_baseline,2.6307428093107212,2.6352582033506664,0.004515394039945164,0.12812185851308872,0.13263725255303388,
2023,4,delay_1m,5,slow_vs_matched_constant,,,0.02621089030183551,0.006847237204716581,0.03305812750655211,0.8303030303030303
2023,4,delay_1m_observed,0,slow_vs_baseline,2.6307428093107212,2.6352582033506664,0.004515394039945164,0.0,0.004515394039945164,
2023,4,delay_1m_observed,0,slow_vs_matched_constant,,,0.02621089030183551,0.0,0.02621089030183551,0.8303030303030303
2023,4,delay_1m_observed,1,slow_vs_baseline,2.6307428093107212,2.6352582033506664,0.004515394039945164,0.0256048708674875,0.030120264907432664,
2023,4,delay_1m_observed,1,slow_vs_matched_constant,,,0.02621089030183551,0.00136770745706968,0.027578597758905206,0.8303030303030303
2023,4,delay_1m_observed,3,slow_vs_baseline,2.6307428093107212,2.6352582033506664,0.004515394039945164,0.0768438534304918,0.08135924747043696,
2023,4,delay_1m_observed,3,slow_vs_matched_constant,,,0.02621089030183551,0.004105731708054048,0.03031662200988957,0.8303030303030303
2023,4,delay_1m_observed,5,slow_vs_baseline,2.6307428093107212,2.6352582033506664,0.004515394039945164,0.12812185851308872,0.13263725255303388,
2023,4,delay_1m_observed,5,slow_vs_matched_constant,,,0.02621089030183551,0.006847237204716581,0.03305812750655211,0.8303030303030303
2023,4,literal_publication,0,slow_vs_baseline,2.314197622928742,2.3726797712951084,0.05848214836636645,0.0,0.05848214836636645,
2023,4,literal_publication,0,slow_vs_matched_constant,,,0.0215742982656711,0.0,0.0215742982656711,0.8388429752066116
2023,4,literal_publication,1,slow_vs_baseline,2.314197622928742,2.3726797712951084,0.05848214836636645,0.004300882658111405,0.06278303102447785,
2023,4,literal_publication,1,slow_vs_matched_constant,,,0.0215742982656711,0.00011002938100955617,0.02168432764668067,0.8388429752066116
2023,4,literal_publication,3,slow_vs_baseline,2.314197622928742,2.3726797712951084,0.05848214836636645,0.012907946770524528,0.07139009513689097,
2023,4,literal_publication,3,slow_vs_matched_constant,,,0.0215742982656711,0.00033076058569619514,0.021905058851367287,0.8388429752066116
2023,4,literal_publication,5,slow_vs_baseline,2.314197622928742,2.3726797712951084,0.05848214836636645,0.021522082277973333,0.08000423064433979,
2023,4,literal_publication,5,slow_vs_matched_constant,,,0.0215742982656711,0.0005523890228391873,0.02212668728851029,0.8388429752066116
