year,view,scenario,cost_bps,rank,phase,mdd,start,end,minutes,days,baseline_net_log,slow_net_log,matched_net_log,slow_vs_matched_log,conflict_share,both_share,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log
2023,4,delay_1m_observed,0,6,decline,0.022302597459706138,2023-12-26 13:58:00,2023-12-28 09:30:00,302,3,-0.02255506117825057,-0.016108813319898996,-0.018727535644971684,0.0026187223250726892,0.6688741721854304,0.0,0.020135259680870377,0.02658150753922195,0.0064462478583515725,0.0,0.0064462478583515725
2023,4,delay_1m_observed,0,6,recovery,0.022302597459706138,2023-12-28 09:30:00,2023-12-28 11:25:00,115,1,0.02292449482105141,0.013294270829778299,0.019034277518085115,-0.005740006688306813,0.6086956521739131,0.0,0.0199884556996639,0.010358231708390786,-0.009630223991273112,0.0,-0.009630223991273112
2023,4,delay_1m_observed,0,7,decline,0.017721573633306942,2023-12-28 13:45:00,2023-12-29 14:35:00,290,2,-0.01788048090969596,-0.014473044288906056,-0.01484621748259604,0.0003731731936899843,0.25862068965517243,0.0,0.005628850606720359,0.009036287227510265,0.0034074366207899054,0.0,0.0034074366207899054
2023,4,delay_1m_observed,0,7,recovery,0.017721573633306942,2023-12-29 14:35:00,2023-12-29 14:59:00,24,1,0.002807918053855829,0.002807918053855829,0.0023314228689590823,0.0004764951848967468,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2023,4,delay_1m_observed,0,8,decline,0.015898332802102042,2023-01-30 09:31:00,2023-01-30 14:26:00,205,1,-0.016026066943993555,-0.01563882184614096,-0.013306491947437072,-0.0023323298987038867,0.4682926829268293,0.0,0.009040495316937847,0.009427740414790442,0.0003872450978525954,0.0,0.0003872450978525954
2023,4,delay_1m_observed,0,8,recovery,0.015898332802102042,2023-01-30 14:26:00,2023-02-02 09:31:00,515,4,0.018379051900787147,0.012406937777722948,0.015260182487320239,-0.0028532447095972902,0.5106796116504855,0.0,0.028286710176963048,0.02231459605389885,-0.005972114123064198,0.0,-0.005972114123064198
2023,4,delay_1m_observed,0,9,decline,0.015297740690497014,2023-02-20 09:40:00,2023-02-20 10:20:00,40,1,-0.015415958316975065,-0.01295101666902676,-0.0127999169056096,-0.00015109976341716013,0.5,0.0,0.0007644364327275,0.0032293780806758043,0.0024649416479483044,0.0,0.0024649416479483044
2023,4,delay_1m_observed,0,9,recovery,0.015297740690497014,2023-02-20 10:20:00,2023-02-21 09:32:00,192,2,0.01631600574369685,0.008158002871848424,0.013547229011433144,-0.0053892261395847175,1.0,0.0,0.025041203331437334,0.01688320045958891,-0.008158002871848424,0.0,-0.008158002871848424
2023,4,delay_1m_observed,0,10,decline,0.013038791559343893,2023-01-10 10:11:00,2023-01-11 10:52:00,281,2,-0.013124542812755102,-0.012844335095236747,-0.010897347668772418,-0.0019469874264643288,0.5160142348754448,0.0,0.012767486766940284,0.013047694484458638,0.0002802077175183548,0.0,0.0002802077175183548
2023,4,delay_1m_observed,0,10,recovery,0.013038791559343893,2023-01-11 10:52:00,2023-01-11 14:42:00,140,1,0.013334872976292544,0.009988575980687475,0.011071985440921688,-0.0010834094602342136,0.6071428571428571,0.0,0.007040548892557563,0.003694251896952494,-0.003346296995605069,0.0,-0.003346296995605069
2023,4,delay_1m_observed,3,1,decline,0.35580714507088174,2023-02-02 10:21:00,2023-10-20 13:00:00,41829,175,-0.43975713353257906,-0.33440426758470265,-0.36511810196825556,0.030713834383552914,0.33096655430442995,0.057687250472160466,1.9299856848904038,1.9786061335152945,0.04862044862489068,0.056732417322985895,0.10535286594787657
2023,4,delay_1m_observed,3,1,recovery,0.35580714507088174,2023-10-20 13:00:00,2023-12-29 14:59:00,12119,51,0.059932336830781,0.045169674195381815,0.04976542725974793,-0.0045957530643661385,0.35143163627361995,0.06601204719861374,0.5395257140083358,0.509454406760228,-0.030071307248107804,0.015308644612708651,-0.014762662635399153
2023,4,delay_1m_observed,3,2,decline,0.03629750147367332,2023-01-16 10:58:00,2023-01-19 10:11:00,673,4,-0.03697264348912923,-0.02647207797325853,-0.030698193360581282,0.004226115387322756,0.3491827637444279,0.05200594353640416,0.017463533121705233,0.02676340076387662,0.009299867642171389,0.0012006978736993157,0.010500565515870704
