policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
e0.001_x0.05_p2_w480_c3_d5,0.001,0.05,2.0,480,3,5,26,-2.2194282323878975,-31.32363869721988,0.46153846153846156,0.975108810481809,764.6153846153846,0.0,-0.046190163355705804,-0.011859007271100452,-0.012346011586195527,0.15182357025187843,-57.705134042085334
e0.001_x0.15_p0_w120_c1_d0,0.001,0.15,0.0,120,1,0,29,-26.93563891355532,-52.79081976892197,0.3448275862068966,0.5849395611986136,352.1034482758621,0.0,-0.9699890374473216,-0.07822732457247128,-0.08132477423823681,0.15009237957583244,-781.1335284931042
e0.001_x0.15_p0_w120_c1_d5,0.001,0.15,0.0,120,1,5,27,-26.69327274001836,-52.79081976892197,0.3333333333333333,0.5993193468591302,360.5925925925926,0.0,-0.9094506986790889,-0.07260684339688606,-0.07549097539234273,0.1477180895333826,-720.7183639804957
e0.001_x0.15_p0_w120_c3_d0,0.001,0.15,0.0,120,3,0,17,14.89378424916934,-8.798377443861582,0.47058823529411764,1.3926130604915439,378.2352941176471,0.0,0.4852763269251623,0.024055560510540586,0.02506194738328027,0.05730347118840251,253.19433223587876
e0.001_x0.15_p0_w120_c3_d5,0.001,0.15,0.0,120,3,5,17,14.89378424916934,-8.798377443861582,0.47058823529411764,1.3926130604915439,378.2352941176471,0.0,0.4852763269251623,0.024055560510540586,0.02506194738328027,0.05730347118840251,253.19433223587876
e0.001_x0.15_p0_w240_c1_d0,0.001,0.15,0.0,240,1,0,22,30.918891368969113,-11.541382267737932,0.5,1.6167447781989708,566.5,0.0,0.7203900194823499,0.06720783481979242,0.07008017762123875,0.08738454857531086,680.2156101173205
e0.001_x0.15_p0_w240_c1_d5,0.001,0.15,0.0,240,1,5,21,30.55538076245177,10.470038758547684,0.5238095238095238,1.6000440407058143,570.6666666666666,0.0,0.688824657680497,0.06320295422559052,0.06589890633005102,0.08738454857531086,641.6629960114872
e0.001_x0.15_p0_w240_c3_d0,0.001,0.15,0.0,240,3,0,20,30.78312952861851,-15.311745702232816,0.5,1.565026715420433,537.8,0.0,0.7172622494207644,0.06038255845251661,0.06295467962249113,0.07701926896722655,615.6625905723702
e0.001_x0.15_p0_w240_c3_d5,0.001,0.15,0.0,240,3,5,20,30.78312952861851,-15.311745702232816,0.5,1.565026715420433,537.8,0.0,0.7172622494207644,0.06038255845251661,0.06295467962249113,0.07701926896722655,615.6625905723702
e0.001_x0.15_p0_w480_c1_d0,0.001,0.15,0.0,480,1,0,32,-13.949255823060938,-34.6154697633283,0.46875,0.816330264805423,577.1875,0.0,-0.2733605990884205,-0.04820682470260851,-0.050148054824290966,0.14542855176135216,-446.37618633795
e0.001_x0.15_p0_w480_c1_d5,0.001,0.15,0.0,480,1,5,30,-13.803928585926124,-49.80245945230166,0.4666666666666667,0.8272181378278567,578.4,0.0,-0.29789865669607973,-0.045526199993687455,-0.0473621917344722,0.14302174175352544,-414.11785757778375
e0.001_x0.15_p0_w480_c3_d0,0.001,0.15,0.0,480,3,0,24,-7.860807105728685,-1.6838327504187234,0.4583333333333333,0.896591603265525,591.7083333333334,0.0,-0.11807478188271175,-0.022672013284081638,-0.023597733206564886,0.13952973281981096,-188.65937053748843
e0.001_x0.15_p0_w480_c3_d5,0.001,0.15,0.0,480,3,5,24,-24.119886385484545,-1.6838327504187234,0.4583333333333333,0.6827044924276333,560.8333333333334,0.0,-0.6092214997433637,-0.0596348979847382,-0.0620211337297053,0.1474815301350907,-578.877273251629
e0.001_x0.15_p1_w120_c1_d0,0.001,0.15,1.0,120,1,0,25,-0.7991207911842468,-27.106355926531656,0.4,0.9836816980332097,422.8,0.0,-0.0031619537042927577,-0.004282348778682721,-0.004458910247051584,0.11116356786680814,-19.97801977960617
e0.001_x0.15_p1_w120_c1_d5,0.001,0.15,1.0,120,1,5,24,-1.738755990184681,-30.694922491269484,0.375,0.9659142850703992,422.75,0.0,-0.02829034269822866,-0.006443545097976955,-0.006708912162920577,0.11116356786680837,-41.73014376443234
