year,stage,first,last,days,n_trades,eligible,win_rate,mean_trade_log,marked_log_pnl,eff_1d,fast_share_1d,slow_work_velocity_5d,threshold_work_amplitude_5d
2022,21,2022-06-15,2022-06-21,5,18,True,0.33333333333333331,-0.0023041273565079928,-0.059403733207444319,0.099477123090650585,0.89319304647831876,0.19168421053310175,1.0517350858015211
2022,22,2022-06-22,2022-06-28,5,14,True,0.35714285714285715,0.00042298214537206055,0.026180628852692466,0.15677059079909372,0.89422928617980413,0.22032135377385753,1.2086752731426786
2022,23,2022-06-29,2022-07-05,5,18,True,0.5,0.00034506568550090786,-0.006269240556246088,0.13600528117468605,0.90330975701129135,0.17123799819213001,1.1402872813164504
2022,24,2022-07-06,2022-07-12,5,17,True,0.29411764705882354,-0.0010865286703838327,-0.02136998761519858,0.17684140892466987,0.90465862908808359,0.26071318510596148,1.0385229016976754
2022,25,2022-07-13,2022-07-19,5,9,True,0.66666666666666663,0.0048558491138460357,0.042823871238930486,0.10459102608174534,0.90272050737979126,0.32764277963976801,1.0819093844694661
2022,26,2022-07-20,2022-07-26,5,14,True,0.42857142857142855,-0.00025497855468627423,-0.0070254994344883682,0.15338539172387855,0.90697275379789632,0.25251445836013364,1.0054401495802541
2022,27,2022-07-27,2022-08-02,5,11,True,0.54545454545454541,-0.0002947724019643405,-0.0030580779386649853,0.14967413123002135,0.92625970717310935,0.24771265393131175,1.3018725985430497
2022,28,2022-08-03,2022-08-09,5,15,True,0.33333333333333331,0.00023395055017601737,0.0087310670202970595,0.15221645199299774,0.90212502267944195,0.26509225611503368,1.074166060347157
2022,29,2022-08-10,2022-08-16,5,17,True,0.17647058823529413,-0.0022003262678544828,-0.034395270439879048,0.17101540702380222,0.91882977138014288,0.31351158876369323,1.2557427876292835
2022,30,2022-08-17,2022-08-23,5,8,True,0.5,0.0020900063224564809,0.0087136962763190717,0.16269456068004357,0.92562289477527349,0.44537487021822086,1.3638077845193759
2022,31,2022-08-24,2022-08-30,5,14,True,0.2857142857142857,0.00095663919225690681,0.013148167047241612,0.19755467886515601,0.86741378551520421,0.63019115624815691,1.0475608219716503
2022,32,2022-08-31,2022-09-06,5,15,True,0.46666666666666667,0.00038943990408986097,0.0081741546501656291,0.10594793926792745,0.90753025281774957,0.23858834587594954,1.0937507066233179
2022,33,2022-09-07,2022-09-14,5,12,True,0.5,0.0017951591331779116,0.022014367849850214,0.11706782527376318,0.87912666231830983,0.28170995807502236,0.93650280174802969
2022,34,2022-09-15,2022-09-21,5,15,True,0.46666666666666667,0.00081703094185128712,0.010066626432454935,0.21211503584100391,0.86473703775801058,0.41590387928273415,0.87912203824209867
2022,35,2022-09-22,2022-09-28,5,18,True,0.27777777777777779,-0.002665736382376876,-0.047598072376820115,0.15775238696314869,0.90870335870137198,0.21132103049672407,1.1755571086714656
2022,36,2022-09-29,2022-10-12,5,13,True,0.30769230769230771,0.0010476909101539739,0.052505557153933985,0.25779900186362553,0.87558704085700556,0.54705811746131849,1.0097075213594098
2022,37,2022-10-13,2022-10-19,5,13,True,0.46153846153846156,0.0036585769490488683,0.006862523469219413,0.15347117962690807,0.88524371322125039,0.53967874232491209,0.84356023691390658
2022,38,2022-10-20,2022-10-26,5,18,True,0.33333333333333331,-0.0015449938086247511,-0.027207898156076819,0.12506950695228314,0.87134965182470514,0.22642988700765754,1.0111899102104369
2022,39,2022-10-27,2022-11-02,5,20,True,0.20000000000000001,-0.0041841253065816909,-0.08186433551718969,0.10897677015289595,0.90174799506750136,0.28178994397543888,1.1348495947793809
2022,40,2022-11-03,2022-11-09,5,12,True,0.33333333333333331,-0.000845068198169381,-0.0045712333456649507,0.18722683094844944,0.92301525322389577,0.39049357703274773,1.3020279127619727
2022,41,2022-11-10,2022-11-16,5,12,True,0.41666666666666669,-0.0012680390267232266,-0.011091936352234769,0.17310330504629062,0.89463173142934349,0.22477066161376733,1.1673169464154216
2022,42,2022-11-17,2022-11-23,5,11,True,0.36363636363636365,0.0028799315580510256,0.034895022580764837,0.087857978654670904,0.90989420919813213,0.26135034121182815,1.0409708511104774
2022,43,2022-11-24,2022-11-30,5,13,True,0.23076923076923078,0.00032176450695104868,-0.0062233694150004657,0.17341676205019591,0.88453493678168515,0.32785317113734408,1.0171099332780109
2022,44,2022-12-01,2022-12-07,5,12,True,0.16666666666666666,-0.0018258923353332681,-0.021595606412503819,0.076002444706845765,0.90592217343373438,0.19887455984782063,0.94583556435831428
2022,45,2022-12-08,2022-12-14,5,14,True,0.2857142857142857,-0.0016146864723856878,-0.018745801778877497,0.14416686483274449,0.93867400160854653,0.19285744395563501,1.3795663062506116
