a,b,c,year,start,peak,end,bars,sigma,net_log,capture,peak_fraction,time_mass_skew,motion_concentration,half_height_width,negative_area_share,amplitude,net_trend_normalized
2566,2573,2585,2021,2021-03-25 11:25:00,2021-03-25 13:30:00,2021-03-25 14:30:00,19,0.0016226953621458024,-0.005956774034773517,-0.3820843016467684,0.3684210526315789,0.47952199977570775,1.3446846402391412,0.4,0.0,0.008474039478551632,-0.2809323841698812
2585,2595,2597,2021,2021-03-25 14:30:00,2021-03-26 09:50:00,2021-03-26 10:00:00,12,0.0016092527129166845,-0.013554629260784955,-0.6906340915229668,0.8333333333333334,0.009581769810055988,2.5744829461333705,0.23076923076923078,0.4515446525048054,0.01195569416121689,0.7230509805140825
2597,2632,2634,2021,2021-03-26 10:00:00,2021-03-26 14:25:00,2021-03-26 14:35:00,37,0.0016334578527969353,0.021798987314405868,0.7354476113785909,0.9459459459459459,-0.21026226997431144,1.543709818157262,0.5263157894736842,0.106551457753934,0.021598729685319284,0.8076059265506791
2634,2637,2642,2021,2021-03-26 14:35:00,2021-03-26 14:50:00,2021-03-29 09:45:00,8,0.0016346471996448583,-0.006247402283591014,-0.2655890895266171,0.375,-0.19557046612520182,1.6336084700883884,0.6666666666666666,0.09583647842094276,0.005776949822958954,-0.21423398459173834
2642,2654,2676,2021,2021-03-29 09:45:00,2021-03-29 10:45:00,2021-03-29 14:05:00,34,0.0013268191237021134,-0.0029482942116907684,-0.08164883260616765,0.35294117647058826,0.24214337209105616,1.4106954655528,0.5714285714285714,0.0,0.01091410587748598,-0.16852449943126574
2676,2683,2686,2021,2021-03-29 14:05:00,2021-03-29 14:40:00,2021-03-29 14:55:00,10,0.0013814943156453356,-0.002651973484671409,-0.2588065474610553,0.7,-0.26266525318190165,1.5110254720802152,0.6363636363636364,0.0017595020018175333,0.0032604294607789797,0.39009369761675067
2686,2688,2692,2021,2021-03-29 14:55:00,2021-03-30 09:35:00,2021-03-30 09:55:00,6,0.0014139960532180773,-8.793422525615359e-05,-0.007738058055193694,0.3333333333333333,0.4902115272850228,1.758191536679051,0.14285714285714285,0.0,0.005678679536102571,-0.34100354651650383
2692,2700,2711,2021,2021-03-30 09:55:00,2021-03-30 10:35:00,2021-03-30 11:30:00,19,0.0014068472466069073,-0.006185490079622419,-0.34041560342932264,0.42105263157894735,0.5170390949271977,1.6165213526347104,0.45,0.0,0.00718279225406615,0.38751884688746996
2711,2712,2724,2021,2021-03-30 11:30:00,2021-03-30 13:05:00,2021-03-30 14:05:00,13,0.0014011506565266216,0.005478061464024937,0.5244952636057113,0.07692307692307693,0.6276138924725161,1.6121865847679642,0.21428571428571427,0.0679417153776806,0.006954114250642185,-0.7196595373806294
2724,2734,2742,2021,2021-03-30 14:05:00,2021-03-30 14:55:00,2021-03-31 10:05:00,18,0.0013043907061323651,-0.0016883511920522127,-0.09369466879701295,0.5555555555555556,-0.49804901005454305,2.5222260521532585,0.3157894736842105,0.027308322890528664,0.00847221099699702,-0.5080042486301466
2742,2743,2751,2021,2021-03-31 10:05:00,2021-03-31 10:10:00,2021-03-31 10:50:00,9,0.0012096741868728646,-0.0005079518764349645,-0.06424229929516491,0.1111111111111111,0.5727330858601426,1.3805067294618083,0.6,0.0009748937883635386,0.00478917306571347,-0.5140661994597635
2751,2764,2769,2021,2021-03-31 10:50:00,2021-03-31 13:25:00,2021-03-31 13:50:00,18,0.0013204861972594747,-0.0020856489166101062,-0.11960133455433458,0.7222222222222222,0.22995379241500272,1.866965937288233,0.47368421052631576,0.022728306839165942,0.007058625323622891,0.622638718610437
2769,2796,2800,2021,2021-03-31 13:50:00,2021-04-01 10:35:00,2021-04-01 10:55:00,31,0.0014074540606451463,0.017450444613016036,0.45978992698236815,0.8709677419354839,-0.6875590486369524,1.9724266002114126,0.21875,0.4712205119633139,0.021648316823037916,0.7711047563468687
2800,2803,2804,2021,2021-04-01 10:55:00,2021-04-01 11:10:00,2021-04-01 11:15:00,4,0.0014876348108018302,0.0022596915577476335,0.6134441182271821,0.75,-0.3875594463414052,1.5347797604347906,0.4,0.0,0.002718466689702659,0.3375131794373326
2804,2809,2815,2021,2021-04-01 11:15:00,2021-04-01 13:10:00,2021-04-01 13:40:00,11,0.0014945770512586683,-0.0032805964529794055,-0.30979300307909013,0.45454545454545453,0.16728267955704254,1.3334674362787204,0.3333333333333333,0.08069109231557138,0.00485746495516981,-0.04883381214697861
2818,2848,2857,2021,2021-04-01 13:55:00,2021-04-02 10:55:00,2021-04-02 13:10:00,39,0.002171845201058795,0.018544031237718386,0.3305130854777964,0.7692307692307693,0.13600528741505202,2.870409495156735,0.5,0.13819532869638132,0.029543670509253772,0.8224330382529043
2857,2860,2864,2021,2021-04-02 13:10:00,2021-04-02 13:25:00,2021-04-02 13:45:00,7,0.002222915991082539,-0.0003781982386425167,-0.05183223166108857,0.42857142857142855,-0.11577567556797454,1.3154933082794296,0.5,0.027210864408581205,0.003198103901403293,0.1954320735582634
2864,2874,2875,2021,2021-04-02 13:45:00,2021-04-02 14:35:00,2021-04-02 14:40:00,11,0.0022149040543698838,-0.0030512259387079936,-0.4808123617242097,0.9090909090909091,-0.3924353786973926,1.415522203445091,0.3333333333333333,0.007421889068223998,0.0030192422461254864,0.8828093023131098
2875,2880,2891,2021,2021-04-02 14:40:00,2021-04-06 09:35:00,2021-04-06 10:30:00,16,0.0013663985126337482,-0.0009974904875646535,-0.0491138673650014,0.3125,1.6824377885873645,1.7651128362614545,0.11764705882352941,0.27794938884909026,0.007224696956883214,-0.5398681001346587
2891,2898,2903,2021,2021-04-06 10:30:00,2021-04-06 11:05:00,2021-04-06 11:30:00,12,0.0011774174233105566,-0.006837633936962165,-0.834426221076203,0.5833333333333334,-0.2886227425521375,1.5401895575404605,0.46153846153846156,0.025276973495044718,0.003596210109667375,-0.2255923736579516
