year,view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2022,2,delay_1m,0,constant_050,0.5,0.24869363460588723,0.22209791250915778,0.09048239981080926,0.07320360633386624,50,0.5,660.0,0.0,1.6945006424591178
2022,2,delay_1m,0,matched_constant,0.8392648071625345,0.45179093725069547,0.37279792342639945,0.14716851711289802,0.1197982475343398,50,0.8392648071625342,1107.8295454545455,0.0,1.6945006424591171
2022,2,delay_1m,1,baseline,1.0,0.3664042074333966,0.3121826232580516,0.18084572225429354,0.15325103687556252,140,1.0,1320.0,0.13201320176026404,1.176195507123802
2022,2,delay_1m,1,slow_conflict_half,1.0,0.39519508758733624,0.33303425322840385,0.14577290511812468,0.12773139912306133,140,0.8392648071625345,1099.0,0.10990892099621155,1.5002046835609413
2022,2,delay_1m,1,constant_075,0.75,0.26382071089938297,0.23413944302115342,0.13895795747803835,0.11729290445856874,140,0.75,990.0,0.09900742574258353,1.176208308185194
2022,2,delay_1m,1,constant_050,0.5,0.1689367936440818,0.15609461228914112,0.09492835686245718,0.07980863536795053,140,0.5,660.0,0.06600330022001649,1.1762211084009473
2022,2,delay_1m,1,matched_constant,0.8392648071625345,0.2995339110476266,0.2620056702168932,0.15415469832438033,0.13030398389375586,140,0.8392648071625342,1107.8295454545455,0.11079225320950632,1.1762037375451575
2022,2,delay_1m,3,baseline,1.0,0.04925142094290443,0.04807697747692158,0.2827830271781867,0.271531721517772,140,1.0,1320.0,0.39611884754139426,0.17671054175887166
2022,2,delay_1m,3,slow_conflict_half,1.0,0.11981429925121928,0.11316286731997782,0.24098537813580828,0.23045437189292586,141,0.8392648071625345,1099.0,0.32978030690463755,0.498167455908849
2022,2,delay_1m,3,constant_075,0.75,0.03673880685655565,0.036080023709468195,0.22063055517817148,0.21147857376621584,140,0.75,990.0,0.29706684505426845,0.17682027340018952
2022,2,delay_1m,3,constant_050,0.5,0.02436018360028023,0.02406820656782105,0.15309917932290104,0.1464820183118768,140,0.5,660.0,0.1980297059413368,0.17692998369611004
2022,2,delay_1m,3,matched_constant,0.8392648071625345,0.04119110708449212,0.04036535307653161,0.2434171029025071,0.2334683977278109,140,0.8392648071625342,1107.8295454545455,0.33243257034986784,0.17678109515545717
2022,2,delay_1m,5,baseline,1.0,-0.19437297776441914,-0.21613439514681673,0.38313292884519595,0.37332775874444324,140,1.0,1320.0,0.660330220165132,-0.7751391771931723
2022,2,delay_1m,5,slow_conflict_half,1.0,-0.10127658500846098,-0.10677995036597465,0.3325020073783753,0.32140993662795936,141,0.8392648071625345,1099.0,0.54972312459059,-0.4593985526562465
2022,2,delay_1m,5,constant_075,0.75,-0.14959183369426104,-0.16203884910100153,0.30392009047785357,0.29563840189591356,140,0.75,990.0,0.4951857178647384,-0.774848881674047
2022,2,delay_1m,5,constant_050,0.5,-0.10235859346380029,-0.10798461500115884,0.21455399536441133,0.20833642866474927,140,0.5,660.0,0.33008252751031664,-0.7745586785033272
2022,2,delay_1m,5,matched_constant,0.8392648071625345,-0.1658561587924913,-0.1813494200230517,0.333306424969068,0.3244239783247945,140,0.8392648071625342,1107.8295454545455,0.5541473434494513,-0.7749525237654685
2022,2,delay_1m_observed,0,baseline,1.0,0.559235793105261,0.44419582501831556,0.17277773494609538,0.14104844468744882,50,1.0,1320.0,0.0,1.6945006424591178
2022,2,delay_1m_observed,0,slow_conflict_half,1.0,0.5572838379657791,0.44294317422461527,0.1277808613950965,0.11107089885623932,84,0.8392648071625345,1099.0,0.0,2.018393265307647
2022,2,delay_1m_observed,0,constant_075,0.75,0.3953522170764633,0.33314686876373667,0.13260550535820553,0.10777065515777333,50,0.75,990.0,0.0,1.6945006424591174
2022,2,delay_1m_observed,0,constant_050,0.5,0.24869363460588723,0.22209791250915778,0.09048239981080926,0.07320360633386624,50,0.5,660.0,0.0,1.6945006424591178
2022,2,delay_1m_observed,0,matched_constant,0.8392648071625345,0.45179093725069547,0.37279792342639945,0.14716851711289802,0.1197982475343398,50,0.8392648071625342,1107.8295454545455,0.0,1.6945006424591171
2022,2,delay_1m_observed,1,baseline,1.0,0.3664042074333966,0.3121826232580516,0.18084572225429354,0.15325103687556252,140,1.0,1320.0,0.13201320176026404,1.176195507123802
2022,2,delay_1m_observed,1,slow_conflict_half,1.0,0.39519508758733624,0.33303425322840385,0.14577290511812468,0.12773139912306133,140,0.8392648071625345,1099.0,0.10990892099621155,1.5002046835609413
2022,2,delay_1m_observed,1,constant_075,0.75,0.26382071089938297,0.23413944302115342,0.13895795747803835,0.11729290445856874,140,0.75,990.0,0.09900742574258353,1.176208308185194
2022,2,delay_1m_observed,1,constant_050,0.5,0.1689367936440818,0.15609461228914112,0.09492835686245718,0.07980863536795053,140,0.5,660.0,0.06600330022001649,1.1762211084009473
2022,2,delay_1m_observed,1,matched_constant,0.8392648071625345,0.2995339110476266,0.2620056702168932,0.15415469832438033,0.13030398389375586,140,0.8392648071625342,1107.8295454545455,0.11079225320950632,1.1762037375451575
2022,2,delay_1m_observed,3,baseline,1.0,0.04925142094290443,0.04807697747692158,0.2827830271781867,0.271531721517772,140,1.0,1320.0,0.39611884754139426,0.17671054175887166
2022,2,delay_1m_observed,3,slow_conflict_half,1.0,0.11981429925121928,0.11316286731997782,0.24098537813580828,0.23045437189292586,141,0.8392648071625345,1099.0,0.32978030690463755,0.498167455908849
2022,2,delay_1m_observed,3,constant_075,0.75,0.03673880685655565,0.036080023709468195,0.22063055517817148,0.21147857376621584,140,0.75,990.0,0.29706684505426845,0.17682027340018952
2022,2,delay_1m_observed,3,constant_050,0.5,0.02436018360028023,0.02406820656782105,0.15309917932290104,0.1464820183118768,140,0.5,660.0,0.1980297059413368,0.17692998369611004
2022,2,delay_1m_observed,3,matched_constant,0.8392648071625345,0.04119110708449212,0.04036535307653161,0.2434171029025071,0.2334683977278109,140,0.8392648071625342,1107.8295454545455,0.33243257034986784,0.17678109515545717
2022,2,delay_1m_observed,5,baseline,1.0,-0.19437297776441914,-0.21613439514681673,0.38313292884519595,0.37332775874444324,140,1.0,1320.0,0.660330220165132,-0.7751391771931723
2022,2,delay_1m_observed,5,slow_conflict_half,1.0,-0.10127658500846098,-0.10677995036597465,0.3325020073783753,0.32140993662795936,141,0.8392648071625345,1099.0,0.54972312459059,-0.4593985526562465
2022,2,delay_1m_observed,5,constant_075,0.75,-0.14959183369426104,-0.16203884910100153,0.30392009047785357,0.29563840189591356,140,0.75,990.0,0.4951857178647384,-0.774848881674047
2022,2,delay_1m_observed,5,constant_050,0.5,-0.10235859346380029,-0.10798461500115884,0.21455399536441133,0.20833642866474927,140,0.5,660.0,0.33008252751031664,-0.7745586785033272
2022,2,delay_1m_observed,5,matched_constant,0.8392648071625345,-0.1658561587924913,-0.1813494200230517,0.333306424969068,0.3244239783247945,140,0.8392648071625342,1107.8295454545455,0.5541473434494513,-0.7749525237654685
2022,2,literal_publication,0,baseline,1.0,-0.1846629274530107,-0.20415366529714163,0.2600167017765766,0.24193801340879434,238,1.0,254.0,0.0,-0.7520715064474606
2022,2,literal_publication,0,slow_conflict_half,1.0,-0.11508796888542945,-0.12226703878524381,0.21489128190405127,0.20087064379774922,238,0.8409263085399449,212.5,0.0,-0.5112550341108009
2022,2,literal_publication,0,constant_075,0.75,-0.14196917105886203,-0.15311524897285622,0.20215883863668738,0.18758386627234516,238,0.75,190.5,0.0,-0.7520715064474603
2022,2,literal_publication,0,constant_050,0.5,-0.09703982781797663,-0.10207683264857081,0.1397771810609629,0.129332447721172,238,0.5,127.0,0.0,-0.7520715064474606
2022,2,literal_publication,0,matched_constant,0.8409263085399449,-0.15774982433842666,-0.17167818813322486,0.22370771520462596,0.20778961060023846,238,0.8409263085399451,213.595282369146,0.0,-0.7520715064474605
2022,2,literal_publication,1,baseline,1.0,-0.20511370970711648,-0.2295562056358592,0.2681707779175906,0.25733383786217695,238,1.0,254.0,0.025402540338717475,-0.8454413915755931
