year,view,scenario,cost_bps,cell,minutes,base_gross_log,base_net_log,slow_gross_log,slow_net_log
2022,2,legacy_on_minute,3,chop_only,4900,0.01340649470296551,-0.017202688970687656,0.01340649470296551,-0.012700190140228794
2022,2,legacy_on_minute,3,slow_only,16253,0.11696580167954007,-0.001869852582878126,0.058482900839770036,-0.03648759147039045
2022,2,legacy_on_minute,3,both,2418,-0.0918135401546909,-0.11281984267582544,-0.04590677007734545,-0.062260359895329895
2022,2,legacy_on_minute,5,neither,34509,0.37243037511569277,-0.0037577503117158934,0.37243037511569277,0.05179273188420837
2022,2,legacy_on_minute,5,chop_only,4900,0.01340649470296551,-0.03761902230979472,0.01340649470296551,-0.030112078648073012
2022,2,legacy_on_minute,5,slow_only,16253,0.11696580167954007,-0.08113326436999962,0.058482900839770036,-0.09982403347281453
2022,2,legacy_on_minute,5,both,2418,-0.0918135401546909,-0.12683105183011456,-0.04590677007734545,-0.07316674377282789
2022,2,delay_1m,0,neither,34509,0.40846804042579876,0.40846804042579876,0.40846804042579876,0.40846804042579876
2022,2,delay_1m,0,chop_only,4900,0.03322248300511621,0.03322248300511621,0.03322248300511621,0.03322248300511621
2022,2,delay_1m,0,slow_only,16253,0.11135828928964564,0.11135828928964564,0.05567914464482282,0.05567914464482282
2022,2,delay_1m,0,both,2418,-0.10885298770224505,-0.10885298770224505,-0.054426493851122526,-0.054426493851122526
2022,2,delay_1m,1,neither,34509,0.40846804042579876,0.3332605194229817,0.40846804042579876,0.3443625372802952
2022,2,delay_1m,1,chop_only,4900,0.03322248300511621,0.023021462869095802,0.03322248300511621,0.024521740418354566
2022,2,delay_1m,1,slow_only,16253,0.11135828928964564,0.07175432876156643,0.05567914464482282,0.02402686817042274
2022,2,delay_1m,1,both,2418,-0.10885298770224505,-0.11585368779559238,-0.054426493851122526,-0.059876892640668616
2022,2,delay_1m,3,neither,34509,0.40846804042579876,0.18280033334161072,0.40846804042579876,0.2161185004925006
2022,2,delay_1m,3,chop_only,4900,0.03322248300511621,0.002613299331463065,0.03322248300511621,0.007115798161921899
2022,2,delay_1m,3,slow_only,16253,0.11135828928964564,-0.00747736497277255,0.05567914464482282,-0.039291347665337664
2022,2,delay_1m,3,both,2418,-0.10885298770224505,-0.12985929022337958,-0.054426493851122526,-0.07078008366910697
2022,2,delay_1m,5,neither,34509,0.40846804042579876,0.032279914998390065,0.40846804042579876,0.08783039719431437
2022,2,delay_1m,5,chop_only,4900,0.03322248300511621,-0.017803034007644006,0.03322248300511621,-0.010296090345922312
2022,2,delay_1m,5,slow_only,16253,0.11135828928964564,-0.08674077675989406,0.05567914464482282,-0.10262778966776173
2022,2,delay_1m,5,both,2418,-0.10885298770224505,-0.14387049937766871,-0.054426493851122526,-0.08168646754660497
2022,2,delay_1m_observed,0,neither,34509,0.40846804042579876,0.40846804042579876,0.40846804042579876,0.40846804042579876
2022,2,delay_1m_observed,0,chop_only,4900,0.03322248300511621,0.03322248300511621,0.03322248300511621,0.03322248300511621
2022,2,delay_1m_observed,0,slow_only,16253,0.11135828928964564,0.11135828928964564,0.05567914464482282,0.05567914464482282
2022,2,delay_1m_observed,0,both,2418,-0.10885298770224505,-0.10885298770224505,-0.054426493851122526,-0.054426493851122526
2022,2,delay_1m_observed,1,neither,34509,0.40846804042579876,0.3332605194229817,0.40846804042579876,0.3443625372802952
2022,2,delay_1m_observed,1,chop_only,4900,0.03322248300511621,0.023021462869095802,0.03322248300511621,0.024521740418354566
2022,2,delay_1m_observed,1,slow_only,16253,0.11135828928964564,0.07175432876156643,0.05567914464482282,0.02402686817042274
2022,2,delay_1m_observed,1,both,2418,-0.10885298770224505,-0.11585368779559238,-0.054426493851122526,-0.059876892640668616
2022,2,delay_1m_observed,3,neither,34509,0.40846804042579876,0.18280033334161072,0.40846804042579876,0.2161185004925006
2022,2,delay_1m_observed,3,chop_only,4900,0.03322248300511621,0.002613299331463065,0.03322248300511621,0.007115798161921899
2022,2,delay_1m_observed,3,slow_only,16253,0.11135828928964564,-0.00747736497277255,0.05567914464482282,-0.039291347665337664
2022,2,delay_1m_observed,3,both,2418,-0.10885298770224505,-0.12985929022337958,-0.054426493851122526,-0.07078008366910697
2022,2,delay_1m_observed,5,neither,34509,0.40846804042579876,0.032279914998390065,0.40846804042579876,0.08783039719431437
2022,2,delay_1m_observed,5,chop_only,4900,0.03322248300511621,-0.017803034007644006,0.03322248300511621,-0.010296090345922312
2022,2,delay_1m_observed,5,slow_only,16253,0.11135828928964564,-0.08674077675989406,0.05567914464482282,-0.10262778966776173
2022,2,delay_1m_observed,5,both,2418,-0.10885298770224505,-0.14387049937766871,-0.054426493851122526,-0.08168646754660497
2022,2,literal_publication,0,neither,36242,-0.088971455529955,-0.088971455529955,-0.088971455529955,-0.088971455529955
2022,2,literal_publication,0,chop_only,3360,0.04859104325660901,0.04859104325660901,0.04859104325660901,0.04859104325660901
2022,2,literal_publication,0,slow_only,15838,-0.0777520153619582,-0.0777520153619582,-0.0388760076809791,-0.0388760076809791
2022,2,literal_publication,0,both,2640,-0.08602123766183745,-0.08602123766183745,-0.04301061883091872,-0.04301061883091872
2022,2,literal_publication,1,neither,36242,-0.088971455529955,-0.10417297573265208,-0.088971455529955,-0.10172252440259616
2022,2,literal_publication,1,chop_only,3360,0.04859104325660901,0.047390923240606606,0.04859104325660901,0.04744093949364882
2022,2,literal_publication,1,slow_only,15838,-0.0777520153619582,-0.08535277546330673,-0.0388760076809791,-0.04507643772265038
2022,2,literal_publication,1,both,2640,-0.08602123766183745,-0.08742137768050691,-0.04301061883091872,-0.044160700088877944
2022,2,literal_publication,3,neither,36242,-0.088971455529955,-0.13458514100441846,-0.088971455529955,-0.1272310775921415
2022,2,literal_publication,3,chop_only,3360,0.04859104325660901,0.04498996282441453,0.04859104325660901,0.04514010915658372
2022,2,literal_publication,3,slow_only,15838,-0.0777520153619582,-0.10055885809918992,-0.0388760076809791,-0.05747987880635384
2022,2,literal_publication,3,both,2640,-0.08602123766183745,-0.09022249816606434,-0.04301061883091872,-0.04646135029586576
2022,2,literal_publication,5,neither,36242,-0.088971455529955,-0.1650094808823036,-0.088971455529955,-0.15274818961820344
2022,2,literal_publication,5,chop_only,3360,0.04859104325660901,0.0425880412551078,0.04859104325660901,0.042838447885657265
