trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
428,6432,6448,2021-07-30 14:21:00,2021-08-02 10:16:00,1,17,-6.2916428129562718e-05,0.016732876510786261,-0.00019505381344864052,0.016795792938915824,False,True,False,2021-08-02,2021,-1,2021-08-02,140,28
429,6449,6473,2021-08-02 10:21:00,2021-08-02 13:56:00,-1,25,0.0026145288111667723,0.010219657902153206,-0.0081835670919930357,0.0076051290909864341,False,False,False,2021-08-02,2021,1,2021-08-02,140,28
430,6474,6488,2021-08-02 14:01:00,2021-08-03 09:46:00,1,15,-0.0048819143975803985,0.0084676532203882549,-0.010354901676056778,0.013349567617968653,False,True,False,2021-08-03,2021,-1,2021-08-03,141,28
431,6489,6503,2021-08-03 09:51:00,2021-08-03 11:01:00,-1,15,-0.0022858310650393336,0.0073167644167410843,-0.0057962016167965062,0.0096025954817804179,False,True,False,2021-08-03,2021,-1,2021-08-03,141,28
432,6504,6512,2021-08-03 11:06:00,2021-08-03 13:21:00,1,9,-0.0054223017446172559,0.005971635221825625,-0.0054223017446172559,0.011393936966442881,False,True,False,2021-08-03,2021,-1,2021-08-03,141,28
433,6513,6534,2021-08-03 13:26:00,2021-08-04 09:46:00,-1,22,-0.0010804627973695019,0.0075384378261922382,-0.0034407052467741823,0.0086189006235617392,False,True,False,2021-08-04,2021,-1,2021-08-04,142,28
434,6535,6547,2021-08-04 09:51:00,2021-08-04 10:51:00,1,13,0.0059912274361009904,0.013445803408584136,0,0.0074545759724831458,False,False,False,2021-08-04,2021,1,2021-08-04,142,28
435,6548,6552,2021-08-04 10:56:00,2021-08-04 11:16:00,-1,5,-0.005415596261282225,0.0032824966306014662,-0.005415596261282225,0.0086980928918836912,False,True,False,2021-08-04,2021,-1,2021-08-04,142,28
436,6553,6579,2021-08-04 11:21:00,2021-08-05 09:41:00,1,27,0.001625246262472623,0.0096685533921259652,-0.0020368526363826293,0.0080433071296533432,False,False,False,2021-08-05,2021,1,2021-08-05,143,28
437,6580,6591,2021-08-05 09:46:00,2021-08-05 10:41:00,-1,12,-0.0079997678867943234,0.0030581543678998603,-0.0079997678867943234,0.011057922254694184,False,True,False,2021-08-05,2021,-1,2021-08-05,143,28
438,6592,6599,2021-08-05 10:46:00,2021-08-05 11:21:00,1,8,-0.0039075817447937339,0.00053477932300409524,-0.0068029171528622961,0.0044423610677978287,False,True,False,2021-08-05,2021,-1,2021-08-05,143,28
439,6600,6602,2021-08-05 11:26:00,2021-08-05 13:11:00,-1,3,-0.0049457871726825689,0,-0.0055917900524686658,0.0049457871726825689,True,False,False,2021-08-05,2021,-1,2021-08-05,143,28
440,6603,6610,2021-08-05 13:16:00,2021-08-05 13:51:00,1,8,-0.0018969377926408926,0.0032815897689296636,-0.0021958002496469163,0.0051785275615705562,False,True,False,2021-08-05,2021,-1,2021-08-05,143,28
