view,family,period_days,period_bars,positive_years,median_annual_logret,dev_pooled_logret,flip_rate,logret_2021,logret_2022,logret_2023,logret_2024,logret_2025,logret_2026
15m_offset_5,butter_lp_n1,2,32,5,0.2526134653886709,2.099495643472501,0.11668763914432291,0.4846113462115038,0.2526134653886709,0.16378799300638341,1.0474759845494594,0.15100685431648336,0.2187455084333594
15m_offset_5,butter_bp_n1,10,160,5,0.2493738640207922,1.3505040313455514,0.043606620849869326,0.16531601451667016,0.2914703034324363,0.2493738640207922,0.6133073029243745,0.031036546451278124,0.0955015886459139
60m_offset_30,butter_lp_n2,10,40,5,0.24670576232880725,1.2322025872126323,0.04135593220338983,0.2521193297933042,0.3779611923335612,0.162206091753666,0.24670576232880725,0.19321021100329377,0.2712457900759628
30m_offset_15,sma_lp,8,64,5,0.24172482963370617,1.1625430400845473,0.04337022814547097,0.24172482963370617,0.4004132146706806,0.03008175102683243,0.32959319814296006,0.16073004661036808,0.6218048031825036
30m_offset_15,butter_lp_n2,2,16,5,0.2390554445623923,1.364629825177182,0.09747007002484753,0.20470519920573177,0.2831823696665653,0.13487019495247735,0.5028166167900153,0.2390554445623923,-0.0065950082641278995
5m_offset_0,ema_lp,10,480,5,0.23761749242509503,1.5922516583099027,0.019930553595121813,0.23761749242509503,0.41596465433031826,0.20134129851794608,0.7146861157548361,0.0226420972817072,0.6168225674730757
60m_offset_30,ema_lp,10,40,5,0.23208187026188462,1.1376174763515436,0.08033898305084745,0.019063433897029247,0.505943080132687,0.05903618660690062,0.3214929054530422,0.23208187026188462,0.3824273247480812
30m_offset_15,butter_bp_n1,4,32,5,0.22851870275291328,1.5937743388021526,0.10786085385136661,0.45790111139524053,0.07695001410607971,0.17727075992137828,0.6531337506265408,0.22851870275291328,0.10244204006119034
15m_offset_5,ema_lp,10,160,5,0.22769624757917664,1.4803025871183522,0.03692769335011131,0.15158167815153603,0.22769624757917664,0.24207295029729062,0.668509452406889,0.19044225868345996,0.49975672296185997
5m_offset_0,butter_lp_n2,4,192,5,0.22691827414565624,1.6728501468082715,0.00900544843745589,0.22691827414565624,0.48108906841621185,0.1968381291379974,0.7174066203437268,0.050598054764679185,0.11037385905285868
15m_offset_5,sma_lp,3,48,5,0.2267120201501158,1.1622877605294468,0.051301906882199204,0.13840262148234966,0.2267120201501158,0.2024750077287319,0.35259190768481186,0.24210620348343756,0.43448342887487557
30m_offset_15,butter_lp_n1,2,16,5,0.21743997485578676,1.616854595134134,0.1659137113169189,0.2940050201114912,0.14872788047396396,0.17907924695509364,0.7776024727377985,0.21743997485578676,0.15631155128086982
5m_offset_0,butter_bp_n1,5,240,5,0.2113276114472345,1.8905731315770047,0.036050023995709,0.5675153783805456,0.16012335577770265,0.006670850804291209,0.9449359351672308,0.2113276114472345,-0.02789838865674596
