day,year,slot,q,high
2022-06-07,2022,3,1.8663335990453562,True
2022-06-08,2022,0,1.2919645615357864,False
2022-06-08,2022,1,1.3951077928251874,False
2022-06-08,2022,2,1.62501757503113,False
2022-06-08,2022,3,1.7201524231980156,False
2022-06-09,2022,0,1.3896028921563044,False
2022-06-09,2022,1,1.2228948536576185,False
2022-06-09,2022,2,1.934968449271503,True
2022-06-09,2022,3,1.2372062855557813,False
2022-06-10,2022,0,1.6201255633795044,False
2022-06-10,2022,1,1.6148785429447894,False
2022-06-10,2022,2,1.5172558433918806,False
2022-06-10,2022,3,1.4541135622812487,False
2022-06-13,2022,0,1.7589109026565506,False
2022-06-13,2022,1,1.8239759890457807,True
2022-06-13,2022,2,1.544446865443417,False
2022-06-13,2022,3,1.257755105065107,False
2022-06-14,2022,0,1.7459391417333794,False
2022-06-14,2022,1,1.382215756796381,False
2022-06-14,2022,2,1.5478344493170446,False
2022-06-14,2022,3,1.3705197055050307,False
2022-06-15,2022,0,1.97654506418292,True
2022-06-15,2022,1,1.5725352716631187,False
2022-06-15,2022,2,1.6218523680786276,False
2022-06-15,2022,3,1.3968955278588278,False
2022-06-16,2022,0,2.013196153406484,True
2022-06-16,2022,1,1.708755286494663,False
2022-06-16,2022,2,1.66045561856128,False
2022-06-16,2022,3,1.543041399645234,False
2022-06-17,2022,0,1.5720464097073121,False
2022-06-17,2022,1,1.1111013036072586,False
2022-06-17,2022,2,1.575050884295376,False
2022-06-17,2022,3,1.4757618295193755,False
2022-06-20,2022,0,1.6510895900413882,False
2022-06-20,2022,1,1.3074903115315661,False
2022-06-20,2022,2,1.4087061121357254,False
2022-06-20,2022,3,1.350617553957617,False
2022-06-21,2022,0,1.7495815584813534,False
2022-06-21,2022,1,1.684276259096833,False
2022-06-21,2022,2,1.7629232005535198,True
2022-06-21,2022,3,1.7818155038697714,True
2022-06-22,2022,0,1.542769923528534,False
2022-06-22,2022,1,1.6272239260552763,False
2022-06-22,2022,2,1.422926492958948,False
2022-06-22,2022,3,1.517957058975722,False
2022-06-23,2022,0,1.7183918602050572,False
2022-06-23,2022,1,1.6073938573321862,False
2022-06-23,2022,2,1.2263463770119876,False
2022-06-23,2022,3,1.4883811326376108,False
2022-06-24,2022,0,2.280664718825037,True
2022-06-24,2022,1,1.409408057037635,False
2022-06-24,2022,2,1.283754598067659,False
2022-06-24,2022,3,1.5567347949232062,False
2022-06-27,2022,0,2.745359254066241,True
2022-06-27,2022,1,1.251906259257109,False
2022-06-27,2022,2,1.524724632908447,False
2022-06-27,2022,3,1.5491328998226432,False
2022-06-28,2022,0,1.653615662876058,False
2022-06-28,2022,1,1.434404657790671,False
2022-06-28,2022,2,1.2970238958281752,False
2022-06-28,2022,3,1.6106712192487924,False
2022-06-29,2022,0,1.569791264189624,False
2022-06-29,2022,1,1.257660630322942,False
2022-06-29,2022,2,1.3382405914836248,False
2022-06-29,2022,3,1.3680729012385002,False
2022-06-30,2022,0,1.8622302049769455,True
2022-06-30,2022,1,1.4625557852949544,False
2022-06-30,2022,2,1.5490430648474698,False
2022-06-30,2022,3,1.4808414589067467,False
2022-07-01,2022,0,1.3259335131538454,False
2022-07-01,2022,1,1.5759235030680436,False
2022-07-01,2022,2,1.3511100712772945,False
2022-07-01,2022,3,1.1985967505076702,False
2022-07-04,2022,0,2.8743565321154736,True
2022-07-04,2022,1,1.4440687107305041,False
2022-07-04,2022,2,1.3038367631075878,False
2022-07-04,2022,3,1.6843419035828928,False
2022-07-05,2022,0,1.6184234311159649,False
2022-07-05,2022,1,1.274091207817708,False
2022-07-05,2022,2,1.5473204601662942,False
2022-07-05,2022,3,1.224546020832304,False
2022-07-06,2022,0,1.5258439061978686,False
2022-07-06,2022,1,1.3304027856827276,False
2022-07-06,2022,2,1.3200092849426477,False
2022-07-06,2022,3,1.373956479921769,False
2022-07-07,2022,0,1.5479813028768432,False
2022-07-07,2022,1,1.2955022021895601,False
2022-07-07,2022,2,1.4719298429624734,False
2022-07-07,2022,3,1.544875100532353,False
2022-07-08,2022,0,1.951140973612979,True
2022-07-08,2022,1,1.8490056810832183,True
2022-07-08,2022,2,1.4513716108697927,False
2022-07-08,2022,3,1.5888602988606777,False
2022-07-11,2022,0,2.0575861393927073,True
2022-07-11,2022,1,1.6634360940059771,False
2022-07-11,2022,2,1.3968136164222527,False
2022-07-11,2022,3,1.4961607182102412,False
2022-07-12,2022,0,1.4963303463104742,False
2022-07-12,2022,1,1.9576787260989599,True
2022-07-12,2022,2,1.8250912626025253,True
2022-07-12,2022,3,1.8202566899055446,True
2022-07-13,2022,0,1.6261849800649903,False
2022-07-13,2022,1,2.4811739729873152,True
2022-07-13,2022,2,1.929074753980381,True
2022-07-13,2022,3,1.3011919467085602,False
2022-07-14,2022,0,1.3862508514369807,False
2022-07-14,2022,1,1.3984760797094515,False
2022-07-14,2022,2,1.6727006632517285,False
2022-07-14,2022,3,1.7273117482626847,False
2022-07-15,2022,0,1.6095303622293955,False
2022-07-15,2022,1,1.3483006405436768,False
2022-07-15,2022,2,1.3838619149543188,False
2022-07-15,2022,3,1.4211476833856487,False
2022-07-18,2022,0,1.591006035314415,False
2022-07-18,2022,1,1.5300797366436898,False
2022-07-18,2022,2,1.8368793300170185,True
2022-07-18,2022,3,1.4396151284907284,False
2022-07-19,2022,0,1.3843565322591735,False
2022-07-19,2022,1,1.391176000904075,False
2022-07-19,2022,2,2.0143727001559864,True
2022-07-19,2022,3,1.3611420722932128,False
2022-07-20,2022,0,2.625199230876741,True
2022-07-20,2022,1,1.6885258025258851,False
