policy,year,basis,cagr,mdd,terminal_nav,calmar,completed_trades,mean_trade_log_bp,win_rate,exposure_fraction,turnover_sides,terminal_filled_position,year_return,year_mdd,year_completed_trades,year_mean_trade_log_bp
channel_only,2023,uniform_fee_proxy,0.2187053785739765,0.2397111479349338,1.8100733885620468,0.9123704944808864,209,27.51091667650541,0.4066985645933014,0.8431911966987621,420,1,0.1626653958650777,0.1535558961243353,67,22.531081834600148
F,2024,original_zero_cost,0.9248813553588084,0.1432380473341723,13.728271628963103,6.456953111075811,2783,9.373908109633174,0.3819619116061803,1.0,5568,1,2.409374924335716,0.1240352325161776,680,18.150656778941016
F,2024,uniform_fee_proxy,0.4570829950286165,0.1801411586881637,4.507514776043558,2.5373601366684757,2783,5.373508056291841,0.3643550125763564,1.0,5568,1,1.5973761547442813,0.1247357941266498,680,14.15025672559968
A,2024,original_zero_cost,0.8262426938574884,0.1119509032980272,11.123308080074782,7.380402207724286,1866,12.95550807697562,0.3917470525187567,0.6803405572755418,3733,1,1.57463952463883,0.1119509032980284,473,20.156981543473467
A,2024,uniform_fee_proxy,0.515267537772983,0.1190416930902782,5.2717799863186166,4.32846277969364,1866,8.955108023634287,0.3756698821007502,0.6803405572755418,3733,1,1.1307853301335498,0.1126611294720227,473,16.156581490132133
B,2024,original_zero_cost,0.9289190203989174,0.1524713784794491,13.843821220029197,6.092415702296033,2642,9.905905789792232,0.3868281604844814,0.9642672858617132,5286,1,2.231200461499001,0.1240352325161776,647,18.2468225844612
B,2024,uniform_fee_proxy,0.4808752815605892,0.1687978120839868,4.80921215564052,2.848824138320736,2642,5.905505736450899,0.3701741105223315,0.9642672858617132,5286,1,1.4943491779169042,0.1247357941266499,647,14.246422531119864
AB,2024,original_zero_cost,0.7899193478410182,0.1119509032980273,10.264406665156471,7.055944387855037,1788,13.071237810005712,0.3937360178970917,0.6596792225662195,3577,1,1.359573591379652,0.1119509032980283,450,19.248813649234013
AB,2024,uniform_fee_proxy,0.4967598539716128,0.1189728587615227,5.018899555000939,4.1754048708483325,1788,9.070837756664378,0.3791946308724832,0.6596792225662195,3577,1,0.9708460522330916,0.1126611294720227,450,15.248413595892682
C,2024,original_zero_cost,0.5330582568884308,0.2366849611467852,5.52375788098471,2.2521847366459555,690,24.28637300458825,0.3260869565217391,1.0,1382,-1,0.9958908872375256,0.2141866971327294,157,43.62565463159847
C,2024,uniform_fee_proxy,0.4306912085760519,0.2503030630609656,4.189706821657974,1.720678937401376,690,20.28597295124691,0.3130434782608696,1.0,1382,-1,0.8743917932077563,0.2185753907005234,157,39.625254578257135
AC,2024,original_zero_cost,0.4796416983250511,0.2440082028044927,4.793207688936434,1.965678582983358,518,29.67031879114273,0.3397683397683397,0.9377579979360166,1038,-1,0.7771710143018962,0.2369658927939012,117,48.87832295188176
AC,2024,uniform_fee_proxy,0.4047997585837176,0.2536241858445054,3.894553693113122,1.596061342635109,518,25.6699187378014,0.333976833976834,0.9377579979360166,1038,-1,0.6959076793908263,0.2403162018221133,117,44.877922898540426
BC,2024,original_zero_cost,0.5227619972166545,0.2275687448978848,5.37685245495238,2.2971607873973623,663,24.868846011000283,0.3318250377073906,0.9932920536635708,1328,-1,0.9613989965072776,0.1981222040284889,149,44.79800398584049
BC,2024,uniform_fee_proxy,0.424924953993351,0.2395263563852573,4.1225693345459264,1.7740217001835747,663,20.86844595765895,0.3182503770739064,0.9932920536635708,1328,-1,0.847904014307081,0.2016430668496847,149,40.797603932499165
ABC,2024,original_zero_cost,0.4712446850187138,0.2467277948910353,4.685323990226285,1.9099781004683072,506,29.924065820529236,0.3438735177865613,0.9348985208118336,1014,-1,0.7897745683545714,0.2245462211221983,112,51.69136328581812
ABC,2024,uniform_fee_proxy,0.3985048425778647,0.2560116199640524,3.825215422851736,1.556588886995912,506,25.9236657671879,0.3379446640316205,0.9348985208118336,1014,-1,0.7113545507066856,0.2273331140073994,112,47.69096323247679
channel_only,2024,original_zero_cost,0.3643237553710524,0.2345230453580495,3.4647329337221757,1.5534667598010865,276,43.92602234378661,0.3985507246376811,0.8488777089783281,554,-1,0.7599048806841335,0.2066371113068055,67,82.65249209473339
channel_only,2024,uniform_fee_proxy,0.3270469273279412,0.2397111479349338,3.1013095965654567,1.3643375793966552,276,39.92562229044529,0.394927536231884,0.8488777089783281,554,-1,0.7133612461034944,0.2082224097923543,67,78.65209204139205
F,2025,original_zero_cost,0.8675662509083046,0.1432380473341723,22.718522605701786,6.056814282620628,3482,8.90709179718152,0.3836875358989087,1.0,6966,-1,0.6548712918654269,0.0927983889747475,699,7.048508395818207
F,2025,uniform_fee_proxy,0.4133577344962415,0.1801411586881637,5.639758395992181,2.294632373336685,3482,4.906691743840186,0.3661688684663986,1.0,6966,-1,0.2511902181588495,0.1156680856568578,699,3.0481083424768696
A,2025,original_zero_cost,0.7317967457264103,0.1396749970319958,15.577027838699342,5.239282343129567,2346,11.704165620246458,0.3955669224211424,0.682394801980198,4692,0,0.4003952535129682,0.1396749970319967,480,6.83957181971184
A,2025,uniform_fee_proxy,0.4354245805531947,0.1518352118004651,6.0939922084141,2.8677444144208777,2346,7.703765566905124,0.3797953964194373,0.682394801980198,4692,0,0.1559648210337464,0.151835211800461,480,2.839171766370507
B,2025,original_zero_cost,0.8528232686076169,0.1524713784794491,21.83584388973998,5.59333349716232,3304,9.267014627349727,0.386501210653753,0.9612383113311332,6610,-1,0.5772988933249031,0.0927983889747469,662,6.717240531922083
B,2025,uniform_fee_proxy,0.4223125786149382,0.1687978120839868,5.8207005100365645,2.501884197437423,3304,5.266614574008394,0.3698547215496368,0.9612383113311332,6610,-1,0.210323088618518,0.1294901042852696,662,2.71684047858075
AB,2025,original_zero_cost,0.6997847939410605,0.1365203286270949,14.189585162477238,5.125865143882868,2250,11.788925583319555,0.3973333333333333,0.6612864411441144,4500,0,0.3824067601145471,0.1365203286270958,462,6.826210731988718
AB,2025,uniform_fee_proxy,0.4197540449780217,0.1560854937352503,5.768535550566778,2.689257245711774,2250,7.788525529978222,0.3831111111111111,0.6612864411441144,4500,0,0.1493626216963978,0.1560854937352479,462,2.8258106786473847
C,2025,original_zero_cost,0.4833651340550057,0.2366849611467852,7.181916215572067,2.042230024725721,854,22.9448961791121,0.319672131147541,1.0,1710,-1,0.3001866429184684,0.1373165676925638,164,17.300877828023435
C,2025,uniform_fee_proxy,0.3852857070680556,0.2503030630609656,5.101486793004457,1.539276836473282,854,18.94449612577076,0.306791569086651,1.0,1710,-1,0.2176238123949759,0.1497684517201216,164,13.3004777746821
AC,2025,original_zero_cost,0.4415222341831087,0.2440082028044927,6.224532328498167,1.8094565228074344,632,28.781703191964446,0.3370253164556962,0.937517189218922,1265,0,0.2986151930919716,0.1796521874353559,114,24.743958627277177
AC,2025,uniform_fee_proxy,0.3703889458674864,0.2536241858445054,4.833027139012677,1.4603849575078314,632,24.781303138623112,0.3322784810126582,0.937517189218922,1265,0,0.2409707298577107,0.1920284142201767,114,20.74355857393584
BC,2025,original_zero_cost,0.4690379162303525,0.2275687448978848,6.841715736541394,2.061082317964272,819,23.33292359837012,0.3199023199023199,0.9924539328932892,1640,-1,0.272438809482251,0.1420309790286086,156,16.805253344691923
BC,2025,uniform_fee_proxy,0.3757529027510094,0.2395263563852573,4.928357333611349,1.5687330130244357,819,19.332523545028785,0.3064713064713065,0.9924539328932892,1640,-1,0.1954577191250897,0.1556505978412469,156,12.804853291350591
ABC,2025,original_zero_cost,0.4304543200828323,0.2467277948910353,5.98921589263837,1.7446527265926313,616,28.9036660873878,0.3376623376623376,0.9341824807480748,1233,0,0.2782927936535412,0.179652187435356,110,24.209827314937183
ABC,2025,uniform_fee_proxy,0.3616091073246186,0.2560116199640524,4.680176568542332,1.4124714627226436,616,24.90326603404646,0.3327922077922078,0.9341824807480748,1233,0,0.223506665946979,0.1920284142201767,110,20.20942726159586
channel_only,2025,original_zero_cost,0.3519120609013793,0.2345230453580495,4.515878126904243,1.5005436261673573,340,44.0619114447774,0.4,0.8519836358635864,681,0,0.3033841895723776,0.1587332004977596,64,44.6479331928002
channel_only,2025,uniform_fee_proxy,0.3155794400918906,0.2397111479349338,3.940809019580588,1.316498806211341,340,40.06151139143608,0.3970588235294117,0.8519836358635864,681,0,0.2706919115540094,0.163096868865021,64,40.64753313945887
