view,scenario,cost_bps,year,mdd_improvement_vs_baseline,mdd_improvement_vs_matched
2,delay_1m_observed,3,2022,0.041797649042378426,0.0024317247666988118
2,delay_1m_observed,3,2023,0.08317844428820481,0.03553383030883572
2,delay_1m_observed,3,2024,0.003487411104549698,-0.017409460981599623
2,delay_1m_observed,3,2025,0.07005070291570309,0.022460327439705163
2,delay_1m_observed,5,2021,0.07619390897498768,0.019194178293250153
2,delay_1m_observed,5,2022,0.05063092146682063,0.0008044175906926632
2,delay_1m_observed,5,2023,0.09173166608330235,0.030622866282687455
2,delay_1m_observed,5,2024,0.03202475083060183,-0.0014094730988230275
2,delay_1m_observed,5,2025,0.07127254294255214,0.010594556972762181
2,legacy_on_minute,0,2021,0.036585402799684835,0.0055243208599270455
2,legacy_on_minute,0,2022,0.03190069455176678,0.006056207064618513
2,legacy_on_minute,0,2023,0.036072039118072,0.013609672170646459
2,legacy_on_minute,0,2024,0.041763983490912704,0.01997978189475999
2,legacy_on_minute,0,2025,-0.002780815919244728,-0.0277881036190461
2,legacy_on_minute,1,2021,0.05168900188578693,0.014786201841493707
2,legacy_on_minute,1,2022,0.029527827564852782,-0.0015977509407791857
2,legacy_on_minute,1,2023,0.07733932774941002,0.044952743301218206
2,legacy_on_minute,1,2024,0.041838027245763715,0.02000129100870114
2,legacy_on_minute,1,2025,-0.002337326384072802,-0.02854648875258789
2,legacy_on_minute,3,2021,0.061502789578054884,0.014413848323997835
2,legacy_on_minute,3,2022,0.0412012954236447,-0.0025715241719163617
2,legacy_on_minute,3,2023,0.0928359118323755,0.040221259964101974
2,legacy_on_minute,3,2024,0.01615162864789399,-0.005790114930169066
2,legacy_on_minute,3,2025,0.04775929054263364,0.005218468498274426
2,legacy_on_minute,5,2021,0.07661513213634119,0.019665083951372564
2,legacy_on_minute,5,2022,0.0505566670034423,-0.0022710679032619807
2,legacy_on_minute,5,2023,0.09734348980179774,0.03401456581158535
2,legacy_on_minute,5,2024,0.029835443314856935,-0.0023149397938369287
2,legacy_on_minute,5,2025,0.06506424758070178,0.007912007413704847
2,literal_publication,0,2021,0.04207288894272637,-0.0030997554723181664
2,literal_publication,0,2022,0.04512541987252533,0.008816433300574689
2,literal_publication,0,2023,0.061761302519409866,0.006483124926374817
2,literal_publication,0,2024,0.06899687416050398,0.003212260127955946
2,literal_publication,0,2025,0.08752898387642266,0.04503770251259051
2,literal_publication,1,2021,0.04204500534962535,-0.004232549534431362
2,literal_publication,1,2022,0.049090035628199497,0.011826500428449266
2,literal_publication,1,2023,0.062190870719173896,0.006110961358920031
2,literal_publication,1,2024,0.06622982086402518,0.00017754948503101442
2,literal_publication,1,2025,0.08771117735833484,0.044844936673964136
2,literal_publication,3,2021,0.04196844573434533,-0.006411267204523452
2,literal_publication,3,2022,0.06533465371601296,0.0242028120820538
2,literal_publication,3,2023,0.06345611748986352,0.005903079075291973
2,literal_publication,3,2024,0.06516572478052174,-0.0015266756773248957
2,literal_publication,3,2025,0.09721398809196735,0.05173017314100836
2,literal_publication,5,2021,0.04186541754620099,-0.008477774887902856
2,literal_publication,5,2022,0.06956076057544891,0.024926273669169496
2,literal_publication,5,2023,0.06451475290369452,0.00570242663662901
2,literal_publication,5,2024,0.0654439439543858,-0.0018059783286911157
2,literal_publication,5,2025,0.09844762490062789,0.05007568730150572
3,delay_1m,0,2021,0.03160754093073834,0.0026665882557486142
3,delay_1m,0,2022,0.006234226054777137,-0.0137937571434458
3,delay_1m,0,2023,0.03247194032389322,0.009093173625812467
3,delay_1m,0,2024,0.013788966635436217,-0.004593727726811672
3,delay_1m,0,2025,0.030314014290101818,0.006639024782442146
3,delay_1m,1,2021,0.03134066832579688,-0.0017800887691758471
3,delay_1m,1,2022,0.0007810919401639582,-0.020390620387401442
3,delay_1m,1,2023,0.061646125107686134,0.02936368588405408
3,delay_1m,1,2024,0.014203621472334463,-0.004728613049167885
3,delay_1m,1,2025,0.03121944019830175,0.006905849945840481
3,delay_1m,3,2021,0.04275468753528644,-0.0006604698988252333
3,delay_1m,3,2022,0.014001614924699313,-0.016620341812917466
3,delay_1m,3,2023,0.07433149458134442,0.02409225940555415
3,delay_1m,3,2024,0.00118475922747735,-0.019528018440590544
3,delay_1m,3,2025,0.054765262321543995,0.022528346860402254
3,delay_1m,5,2021,0.038429480731681565,-0.01530478229830301
3,delay_1m,5,2022,0.029288136699007927,-0.01421878587524572
3,delay_1m,5,2023,0.08241674423056361,0.02062703727548526
