view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
3,legacy_on_minute,1,constant_075,0.75,0.26678126030744276,1.1823962131797912,0.18490772193772734,0.17823639591127688,337,0.7499974215462472,5046.0,0.504637843159082,1.2634261254086556
3,legacy_on_minute,1,constant_050,0.5,0.17076163892002205,0.7882725522714129,0.1274199435721576,0.12266504624093029,337,0.49999828103083144,3364.0,0.33641681862116746,1.263439947174015
3,legacy_on_minute,1,matched_constant,0.8311743006349894,0.2996214774598144,1.3103652544208655,0.20274718161644273,0.19551248866348553,337,0.8311714431089966,5592.140694672208,0.5592605481456294,1.263421637323509
3,legacy_on_minute,3,baseline,1.0,0.04715254018169362,0.23037306952214615,0.4718126208878258,0.4612122745116089,562,0.9999965620616629,6728.0,2.0190056722630176,0.18065738733545478
3,legacy_on_minute,3,slow_conflict_half,1.0,0.07314773544040105,0.3529806932236846,0.3859078835725717,0.37515913653770816,563,0.8311714431089964,5573.0,1.6723041443472093,0.31918242254620416
3,legacy_on_minute,3,constant_075,0.75,0.03518347336023137,0.17289339977066323,0.38040542874883276,0.3711025983620424,562,0.7499974215462472,5046.0,1.5141406565682085,0.18077660635654572
3,legacy_on_minute,3,constant_050,0.5,0.023335711247891116,0.11533798311651962,0.273197978593436,0.26594113975164585,562,0.49999828103083144,3364.0,1.0093513877760618,0.1808958021099125
3,legacy_on_minute,3,matched_constant,0.8311743006349894,0.039056446814165875,0.19156519331355346,0.4116971643395024,0.40190019519225983,562,0.8311714431089966,5592.140694672208,1.6780606092529413,0.18073789882522576
3,legacy_on_minute,5,baseline,1.0,-0.2000938142698441,-1.1163041301396266,0.7247801600378645,0.7195187547948385,1211,0.9999965620616629,6728.0,3.3656828719247875,-0.8565608953864824
3,legacy_on_minute,5,slow_conflict_half,1.0,-0.14141329422035412,-0.7623380345658637,0.6230252332198828,0.6159100088929637,1211,0.8311714431089964,5573.0,2.787622872136758,-0.6758704561441112
3,legacy_on_minute,5,constant_075,0.75,-0.15412398141542405,-0.8369124012593466,0.6199463072436174,0.6145101912671037,1211,0.7499974215462472,5046.0,2.5239464575982193,-0.8562437351391768
3,legacy_on_minute,5,constant_050,0.5,-0.1055499701380426,-0.5577312067954052,0.47524886374858305,0.4702569483260827,1211,0.49999828103083144,3364.0,1.6824205776879866,-0.855926676305291
3,legacy_on_minute,5,matched_constant,0.8311743006349894,-0.16932894547413538,-0.9276070271117325,0.657752779688885,0.6523233780986092,1211,0.8311714431089966,5592.140694672208,2.797232829678227,-0.856346705063155
3,delay_1m,0,baseline,1.0,0.5904178717973976,2.319983970770955,0.18612631453490575,0.15155806877886743,95,0.9999931241233257,6728.0,0.0,1.8715738522420344
3,delay_1m,0,slow_conflict_half,1.0,0.5187998007284076,2.089602090860941,0.1545187736041674,0.12598117785647833,82,0.8311680051706593,5573.0,0.0,1.935904038021678
3,delay_1m,0,constant_075,0.75,0.4162288445774504,1.7399879780782161,0.14312444154960305,0.11597083536796796,95,0.7499948430924943,5046.0,0.0,1.8715738522420349
3,delay_1m,0,constant_050,0.5,0.26111770735225087,1.1599919853854774,0.09785051933446513,0.0788909232771981,95,0.4999965620616629,3364.0,0.0,1.8715738522420344
3,delay_1m,0,matched_constant,0.8311737202186544,0.470587442286513,1.9283097078333404,0.15733038446602016,0.127686517237833,95,0.8311680051706593,5592.136789631107,0.0,1.8715738522420344
3,delay_1m,1,baseline,1.0,0.3901662417327752,1.6471166918009432,0.21744856151416167,0.2061072308198759,237,0.9999931241233257,6728.0,0.6728672789700122,1.3147937555648497
