view,scenario,cost_bps,rank,phase,mdd,peak,start,end,days,minutes,baseline_net_log,slow_conflict_half_net_log,constant_075_net_log,constant_050_net_log,matched_constant_net_log,wins_removed_log,losses_avoided_log,gross_delta_log,slow_vs_matched_log
0,delay_1m,3,2,recovery,0.2501233109908542,2022-05-13 09:30:00,2023-10-20 13:00:00,2024-03-18 10:30:00,100,23700,0.28827487565956855,0.26422376490861627,0.2162152418535825,0.14414955009659933,0.23958473636369654,1.35028072790149,1.294411697591943,-0.05586903030954682,0.024639028544919728
0,delay_1m,3,3,decline,0.18772690505411274,2021-03-09 10:00:00,2021-03-09 10:00:00,2021-07-13 10:17:00,86,20417,-0.2079186715396551,-0.15518764319248363,-0.15592988477219616,-0.10394717847599834,-0.17278910370807354,0.9677802563579547,0.9897440517691058,0.02196379541115112,0.017601460515589917
0,delay_1m,3,3,recovery,0.18772690505411274,2021-03-09 10:00:00,2021-07-13 10:17:00,2021-07-29 10:57:00,13,2920,0.2089833185852756,0.18259389178187171,0.15673846837448935,0.1044929650760491,0.17368146615597901,0.2093104207349601,0.18126972198030522,-0.02804069875465487,0.0089124256258927
0,delay_1m,3,4,decline,0.15088629199025924,2022-01-11 11:10:00,2022-01-11 11:10:00,2022-02-17 09:54:00,23,5204,-0.16356216994303097,-0.11451885201399375,-0.12266916198162212,-0.08177779799948018,-0.13593052271281128,0.21359149789954346,0.2539300432914793,0.04033854539193582,0.021411670698817525
0,delay_1m,3,4,recovery,0.15088629199025924,2022-01-11 11:10:00,2022-02-17 09:54:00,2022-03-15 14:55:00,19,4531,0.16433137568291417,0.13862033285834385,0.12325018667049939,0.08216789416515201,0.1365728752983114,0.2492369942117949,0.21902324993519962,-0.03021374427659529,0.0020474575600324396
0,delay_1m,3,5,decline,0.13569189316630678,2024-08-05 09:30:00,2024-08-05 09:30:00,2024-08-29 09:51:00,19,4341,-0.1458259686149883,-0.10447498208245339,-0.10936745004289786,-0.07291028268664321,-0.12119074462638976,0.15487379091168796,0.18917087161524027,0.03429708070355231,0.016715762543936377
0,delay_1m,3,5,recovery,0.13569189316630678,2024-08-05 09:30:00,2024-08-29 09:51:00,2024-09-27 11:20:00,20,4649,0.14901243305654246,0.12989675544529555,0.11176077705888626,0.07450815268988106,0.12384153909269249,0.22233728704977596,0.19811872790095952,-0.024218559148816432,0.00605521635260306
0,delay_1m,3,6,decline,0.13195697779860735,2024-09-27 13:24:00,2024-09-27 13:24:00,2024-09-30 09:53:00,2,119,-0.14151400080193016,-0.09503375979945705,-0.1061354330541695,-0.07075691034693672,-0.11760864434166413,0.005789782075829919,0.051969865495008705,0.046180083419178786,0.022574884542207074
0,delay_1m,3,6,recovery,0.13195697779860735,2024-09-27 13:24:00,2024-09-30 09:53:00,2024-10-08 09:30:00,2,217,0.29694610074026606,0.29694610074026606,0.22270957555519955,0.14847305037013303,0.24678436883582044,-0.0,0.0,0.0,0.05016173190444562
0,delay_1m,3,7,decline,0.11414411674326674,2021-08-02 09:40:00,2021-08-02 09:40:00,2021-09-30 09:58:00,42,9858,-0.12120100158873928,-0.11644285224328804,-0.09089676590214582,-0.06059518760669614,-0.10072409268786947,0.4634026634030941,0.4596056462194369,-0.003797017183657214,-0.01571875955541857
0,delay_1m,3,7,recovery,0.11414411674326674,2021-08-02 09:40:00,2021-09-30 09:58:00,2022-01-05 09:37:00,64,15099,0.1217309736545479,0.08769740663432968,0.09130373534407707,0.06087282623058567,0.10117164513265392,0.6467225976120248,0.5966293841561638,-0.05009321345586093,-0.013474238498324242
0,delay_1m,3,8,decline,0.1133228397002183,2024-11-06 10:12:00,2024-11-06 10:12:00,2024-11-21 09:34:00,12,2602,-0.1202743310199672,-0.08809797671396831,-0.09020432977213505,-0.06013527437538796,-0.09995588223110126,0.28254713245511365,0.30902042513799843,0.026473292682884786,0.01185790551713295
0,delay_1m,3,8,recovery,0.1133228397002183,2024-11-06 10:12:00,2024-11-21 09:34:00,2024-11-28 09:45:00,6,1211,0.12097811951495462,0.09402107345929989,0.09073385982532842,0.060489419973590766,0.10054204742185703,0.1167776727592833,0.08952013141772408,-0.02725754134155922,-0.0065209739625571445
0,delay_1m,3,9,decline,0.10590184776198942,2021-01-04 13:23:00,2021-01-04 13:23:00,2021-01-14 10:26:00,9,1833,-0.11193971985969786,-0.10589054291584299,-0.08395364159104549,-0.05596832901136674,-0.09302940070926688,0.11142157655210028,0.11446904258196788,0.003047466029867607,-0.01286114220657611
0,delay_1m,3,9,recovery,0.10590184776198942,2021-01-04 13:23:00,2021-01-14 10:26:00,2021-03-09 09:53:00,34,7887,0.11262663354356314,0.11692352002522119,0.08447311610610458,0.056317504284100525,0.09360348889853978,0.5074614587346833,0.5006523120128854,-0.006809146721797887,0.023320031126681406
0,delay_1m,3,10,decline,0.10488488132633203,2024-04-09 09:51:00,2024-04-09 09:51:00,2024-05-17 14:17:00,26,6176,-0.11080294476227598,-0.10064826596505641,-0.08309940535966534,-0.05539773513896087,-0.0920834166296128,0.23740968180136157,0.24021016210526014,0.002800480303898567,-0.008564849335443617
0,delay_1m,3,10,recovery,0.10488488132633203,2024-04-09 09:51:00,2024-05-17 14:17:00,2024-07-05 14:05:00,35,8148,0.11108358949301213,0.08310788400521792,0.08331600193638658,0.055546207393895916,0.09232123058860958,0.38943256693850126,0.35215136850388484,-0.037281198434616414,-0.009213346583391666
0,delay_1m_observed,0,1,decline,0.15810171257689326,2022-10-24 09:39:00,2022-10-24 09:39:00,2022-11-11 10:34:00,15,3415,-0.17209607082148004,-0.12399181079017696,-0.12907205311611003,-0.08604803541074002,-0.1430246772425275,0.21825051690544184,0.2663547769367449,0.04810426003130308,0.019032866452350528
0,delay_1m_observed,0,1,recovery,0.15810171257689326,2022-10-24 09:39:00,2022-11-11 10:34:00,2023-01-10 10:11:00,42,9817,0.17292901725119236,0.14428044780293936,0.12969676293839427,0.08646450862559618,0.14371691788289342,0.39895204628646086,0.37030347683820786,-0.028648569448253003,0.0005635299200459354
0,delay_1m_observed,0,2,decline,0.13091438793494958,2024-09-27 13:24:00,2024-09-27 13:24:00,2024-09-30 09:53:00,2,119,-0.14031364065786534,-0.09413355723868655,-0.105235230493399,-0.07015682032893267,-0.11661110606431324,0.005789782075829919,0.051969865495008705,0.046180083419178786,0.022477548825626692
0,delay_1m_observed,0,2,recovery,0.13091438793494958,2024-09-27 13:24:00,2024-09-30 09:53:00,2024-10-08 09:30:00,2,217,0.29694610074026606,0.29694610074026606,0.22270957555519955,0.14847305037013303,0.24678436883582044,-0.0,0.0,0.0,0.05016173190444562
0,delay_1m_observed,0,3,decline,0.12843613651847158,2025-01-08 14:12:00,2025-01-08 14:12:00,2025-02-05 09:30:00,15,3168,-0.13746613675105035,-0.15259866033693292,-0.10309960256328776,-0.06873306837552517,-0.11424461782739401,0.1677894281850909,0.15265690459920833,-0.015132523585882574,-0.038354042509538916
0,delay_1m_observed,0,3,recovery,0.12843613651847158,2025-01-08 14:12:00,2025-02-05 09:30:00,2025-03-21 09:33:00,33,7683,0.1380285260551979,0.11199577752169265,0.10352139454139841,0.06901426302759894,0.11471200530652936,0.4490977194877446,0.42306497095423934,-0.026032748533505234,-0.002716227784836711
0,delay_1m_observed,0,4,decline,0.12407504565009625,2025-09-12 09:44:00,2025-09-12 09:44:00,2025-09-26 13:50:00,11,2556,-0.13247486026584365,-0.07863100897502262,-0.09935614519938274,-0.06623743013292183,-0.11009649460228316,0.3119140373303817,0.36575788862120273,0.05384385129082103,0.03146548562726054
0,delay_1m_observed,0,4,recovery,0.12407504565009625,2025-09-12 09:44:00,2025-09-26 13:50:00,2025-10-10 14:31:00,5,1001,0.1327714428452671,0.09920421157101122,0.09957858213395032,0.06638572142263355,0.11034297685777752,0.13134942844381792,0.09778219716956205,-0.03356723127425587,-0.0111387652867663
0,delay_1m_observed,0,5,decline,0.11777389151441009,2021-06-29 09:48:00,2021-06-29 09:48:00,2021-07-13 10:17:00,11,2429,-0.12530689700245556,-0.12067908555709117,-0.09398017275184167,-0.06265344850122778,-0.10413938223278672,0.1300138703294862,0.13464168177485059,0.004627811445364394,-0.016539703324304447
0,delay_1m_observed,0,5,recovery,0.11777389151441009,2021-06-29 09:48:00,2021-07-13 10:17:00,2021-07-27 11:02:00,11,2445,0.12541674387772428,0.11006227660823331,0.09406255790829321,0.06270837193886214,0.10423067318327975,0.16524813970604635,0.14989367243655538,-0.015354467269490968,0.005831603424953563
0,delay_1m_observed,0,6,decline,0.11647874757356727,2021-03-09 10:00:00,2021-03-09 10:00:00,2021-05-06 10:33:00,39,9153,-0.12383993269966354,-0.09553550889121931,-0.09287994952474765,-0.06191996634983177,-0.10292022542733714,0.4142015474431142,0.44250597125155844,0.028304423808444223,0.00738471653611783
0,delay_1m_observed,0,6,recovery,0.11647874757356727,2021-03-09 10:00:00,2021-05-06 10:33:00,2021-05-31 10:21:00,18,4068,0.12545635493673934,0.12264015134898854,0.09409226620255451,0.06272817746836967,0.10426359292923222,0.15266925072443938,0.14985304713668857,-0.0028162035877508096,0.018376558419756314
0,delay_1m_observed,0,7,decline,0.11285694021128079,2022-01-11 11:10:00,2022-01-11 11:10:00,2022-02-17 09:54:00,23,5204,-0.11974902468466464,-0.07941047929272882,-0.08981176851349848,-0.05987451234233232,-0.09952037558950427,0.21359149789954346,0.2539300432914793,0.04033854539193582,0.020109896296775454
