table,cell,start,end,days,pnl_log
short_long_eff,00,2024-12-19,2024-12-19,1,0.0039395393992476
short_long_eff,10,2024-12-20,2024-12-20,1,0.0041771498346203
short_long_eff,00,2024-12-23,2024-12-23,1,0.0006755057542192
short_long_eff,10,2024-12-24,2024-12-24,1,-0.0027471660610776
short_long_eff,00,2024-12-25,2024-12-25,1,0.0045412073057879
short_long_eff,10,2024-12-26,2024-12-26,1,-0.0123928747618464
short_long_eff,00,2024-12-27,2024-12-30,2,0.006066952661081501
short_long_eff,10,2024-12-31,2025-01-02,2,0.030987250221745498
short_long_eff,11,2025-01-03,2025-01-03,1,-0.011711893366932
short_long_eff,01,2025-01-06,2025-01-06,1,-0.0106475272937852
short_long_eff,10,2025-01-07,2025-01-07,1,0.0222616417555121
short_long_eff,00,2025-01-08,2025-01-13,4,-0.010539459456128601
short_long_eff,10,2025-01-14,2025-01-14,1,0.0065113362327735
short_long_eff,00,2025-01-15,2025-01-15,1,0.0098990787313479
short_long_eff,10,2025-01-16,2025-01-16,1,-0.0109518495347428
short_long_eff,00,2025-01-17,2025-01-23,5,-0.0034668454135837
short_long_eff,10,2025-01-24,2025-02-06,4,-0.0087563783767661
short_long_eff,00,2025-02-07,2025-02-07,1,0.0337630830050314
short_long_eff,11,2025-02-10,2025-02-10,1,0.0057752053137875
short_long_eff,01,2025-02-11,2025-02-11,1,-0.0009883613917128
short_long_eff,11,2025-02-12,2025-02-12,1,-0.0077318154367357
short_long_eff,10,2025-02-13,2025-02-13,1,-0.0042880189175138
short_long_eff,00,2025-02-14,2025-02-14,1,-0.0095748970385134
short_long_eff,11,2025-02-17,2025-02-17,1,-0.012713707622563
short_long_eff,10,2025-02-18,2025-02-19,2,0.0061473642443339
short_long_eff,00,2025-02-20,2025-02-20,1,-0.001567693644191
short_long_eff,11,2025-02-21,2025-02-21,1,0.0274986356074063
short_long_eff,01,2025-02-24,2025-02-25,2,-0.0209389461098404
short_long_eff,11,2025-02-26,2025-02-26,1,0.0111294915166566
short_long_eff,01,2025-02-27,2025-02-27,1,0.0151585066430523
short_long_eff,11,2025-02-28,2025-02-28,1,-0.0096793961661796
short_long_eff,01,2025-03-03,2025-03-03,1,0.0192768699004322
short_long_eff,11,2025-03-04,2025-03-04,1,-0.0177065182279479
short_long_eff,01,2025-03-05,2025-03-05,1,-0.0006115162298048
short_long_eff,11,2025-03-06,2025-03-07,2,0.008988326208193698
