rank,leg,view,days,eff_1d,eff_5d,eff_20d,wick_1d
4,recovery,5m_offset_1,17,0.1804846343859682,0.0923041525127308,0.05077287774574207,0.4572899353823872
4,recovery,5m_offset_2,17,0.17931485187959456,0.09292281176635056,0.05123586027983612,0.45354610591792505
4,recovery,5m_offset_3,17,0.18330551411112614,0.09538050438298906,0.052893536293516875,0.4592049379164379
4,recovery,5m_offset_4,17,0.18337841399178567,0.09340505411764488,0.05215534726449745,0.4604509037241471
4,recovery,60m_offset_30,17,0.6720965952478815,0.370961473171957,0.22406053629408523,0.4967233924978042
4,recovery,60m_offset_45,17,0.729828971073626,0.39353433466246746,0.22903902824757705,0.5386545842030235
4,recovery,daily_noon_close_1130,17,1.0,0.538028203218331,0.34428403591408735,0.5564796890574829
4,recovery,daily_proxy_close_1400,17,1.0,0.5341074895762956,0.313035392302007,0.4617082225091335
4,recovery,daily_proxy_close_1430,17,1.0,0.5230029753202126,0.300241610867331,0.48947873664330255
5,decline,15m_offset_10,17,0.35406512428109405,0.14513160070391423,0.10057336842307224,0.5170598762665062
5,decline,15m_offset_5,17,0.34117884628138523,0.14659839098912172,0.09665882683229643,0.4840460820620618
5,decline,1m_official,17,0.07865215288918802,0.035902738287593786,0.024703563065960856,0.3551937079331524
5,decline,30m_offset_15,17,0.515560292655807,0.20962720560501003,0.14254749653864357,0.514793677478332
5,decline,5m_offset_0,17,0.1773956649465278,0.07836909381455365,0.052405591522350796,0.45251652165584
5,decline,5m_offset_1,17,0.1923975230533161,0.08318469338589962,0.05555865083540894,0.4707325697365268
5,decline,5m_offset_2,17,0.1874153447049316,0.07875401503413933,0.05397195745360201,0.44587106323483294
5,decline,5m_offset_3,17,0.18519354195955456,0.08063952078481094,0.05404144850470283,0.45417827904007246
5,decline,5m_offset_4,17,0.1842051594119783,0.07920426159674772,0.05398113587047621,0.45068970956440635
5,decline,60m_offset_30,17,0.7805776674314503,0.3413249995997615,0.23373591736577684,0.5498212541763364
5,decline,60m_offset_45,17,0.8220933294571523,0.381847133102181,0.24073596108649523,0.5019959378699118
5,decline,daily_noon_close_1130,17,1.0,0.4474258653712777,0.3465418218395843,0.42905104921184056
5,decline,daily_proxy_close_1400,17,1.0,0.47265254390822475,0.3254350632964929,0.4895913487868401
5,decline,daily_proxy_close_1430,17,1.0,0.4329614675401865,0.3096701645294444,0.46471640294311306
5,recovery,15m_offset_10,37,0.3169264149891183,0.14634861027089763,0.06317821867929217,0.5124406193086739
5,recovery,15m_offset_5,37,0.3110321784563396,0.14112355821046552,0.061293259437126,0.5159080930298767
