view,year,feature,outcome,rho,n_days
5m_offset_1,2024,eff_1d,pnl_log,0.24729926364529659,242
5m_offset_1,2024,eff_1d,capture,0.2769625929439837,242
5m_offset_1,2024,eff_5d,pnl_log,0.10993670304622148,242
5m_offset_1,2024,eff_5d,capture,0.08519792840175087,242
5m_offset_1,2024,eff_20d,pnl_log,0.09532561035138679,242
5m_offset_1,2024,eff_20d,capture,0.05304946019141921,242
5m_offset_1,2024,rv_1d,pnl_log,0.21304329603084793,242
5m_offset_1,2024,rv_1d,capture,0.13436811638748017,242
5m_offset_1,2024,rv_5d,pnl_log,0.10992484889127666,242
5m_offset_1,2024,rv_5d,capture,0.028488497871120785,242
5m_offset_1,2024,rv_20d,pnl_log,0.09278712774249051,242
5m_offset_1,2024,rv_20d,capture,0.020127085008261925,242
5m_offset_1,2024,rv_ratio_1_20,pnl_log,0.16500517984234822,242
5m_offset_1,2024,rv_ratio_1_20,capture,0.15081744982411402,242
5m_offset_1,2024,drift_disagree_1_20,pnl_log,0.08363487158972083,242
5m_offset_1,2024,drift_disagree_1_20,capture,0.05433300877743566,242
5m_offset_1,2024,acf1_5d,pnl_log,0.10462180800417946,242
5m_offset_1,2024,acf1_5d,capture,0.09132991340963176,242
5m_offset_1,2024,acf3_5d,pnl_log,0.10998920001811995,242
5m_offset_1,2024,acf3_5d,capture,0.06407128411403527,242
5m_offset_1,2024,acf12_5d,pnl_log,-0.003843709740855472,242
5m_offset_1,2024,acf12_5d,capture,0.03547652221108778,242
5m_offset_1,2024,fast_share_1d,pnl_log,-0.2336864601418858,242
5m_offset_1,2024,fast_share_1d,capture,-0.24240857800520824,242
5m_offset_1,2024,fast_share_5d,pnl_log,-0.15192835348751357,242
5m_offset_1,2024,fast_share_5d,capture,-0.15220269250195065,242
5m_offset_1,2024,fast_share_20d,pnl_log,-0.11000190089841795,242
5m_offset_1,2024,fast_share_20d,capture,-0.08052146427602232,242
5m_offset_1,2024,work_turns_5d,pnl_log,-0.16810971717135592,242
5m_offset_1,2024,work_turns_5d,capture,-0.1228559732222325,242
5m_offset_1,2024,slow_work_velocity_5d,pnl_log,0.22757903016924771,242
5m_offset_1,2024,slow_work_velocity_5d,capture,0.22303126829720568,242
5m_offset_1,2024,slow_work_opposition_5d,pnl_log,0.01359247036086136,242
5m_offset_1,2024,slow_work_opposition_5d,capture,-0.0181768202659304,242
5m_offset_1,2024,wick_1d,pnl_log,-0.0645598446428322,242
5m_offset_1,2024,wick_1d,capture,-0.03260019618626434,242
5m_offset_1,2024,gap_share_1d,pnl_log,0.005676023405182214,242
5m_offset_1,2024,gap_share_1d,capture,-0.01120429323623087,242
5m_offset_1,2024,threshold_work_amplitude_5d,pnl_log,-0.25613314925524155,242
5m_offset_1,2024,threshold_work_amplitude_5d,capture,-0.22449525643289003,242
5m_offset_1,2025,eff_1d,pnl_log,0.23953914677008845,223
5m_offset_1,2025,eff_1d,capture,0.2577945097563932,223
5m_offset_1,2025,eff_5d,pnl_log,0.10677169001160032,223
5m_offset_1,2025,eff_5d,capture,0.10186427619163044,223
5m_offset_1,2025,eff_20d,pnl_log,-0.02957433730976332,223
5m_offset_1,2025,eff_20d,capture,-0.05639900791246082,223
5m_offset_1,2025,rv_1d,pnl_log,0.07054015097737071,223
5m_offset_1,2025,rv_1d,capture,0.07359822186055369,223
5m_offset_1,2025,rv_5d,pnl_log,0.047291886697716286,223
5m_offset_1,2025,rv_5d,capture,0.04690556988763266,223
5m_offset_1,2025,rv_20d,pnl_log,0.047698763786207736,223
5m_offset_1,2025,rv_20d,capture,0.06676571670966289,223
5m_offset_1,2025,rv_ratio_1_20,pnl_log,0.057526576865141885,223
5m_offset_1,2025,rv_ratio_1_20,capture,0.057191119691119695,223
5m_offset_1,2025,drift_disagree_1_20,pnl_log,-0.1025133082390829,223
5m_offset_1,2025,drift_disagree_1_20,capture,-0.09584000424013983,223
5m_offset_1,2025,acf1_5d,pnl_log,-0.039021244178194844,223
5m_offset_1,2025,acf1_5d,capture,-0.03701824021330748,223
5m_offset_1,2025,acf3_5d,pnl_log,0.13443824990910194,223
5m_offset_1,2025,acf3_5d,capture,0.13791077272018976,223
5m_offset_1,2025,acf12_5d,pnl_log,0.09827704866942535,223
5m_offset_1,2025,acf12_5d,capture,0.08380585903007427,223
5m_offset_1,2025,fast_share_1d,pnl_log,-0.26731500077912634,223
